Species,CommonName,TaxonomicGrouping,FilterRegion,FilterSubRegion,ManagementBody,ManagementPlan,DistributionProjectName
Serranus notospilus,Saddle bass,Perciformes/Serranoidei (Groupers),Gulf of Mexico,Gulf of Mexico,NA,NA,NMFS/Rutgers IDW Interpolation
Serranus phoebe,Tattler,Perciformes/Serranoidei (Groupers),Gulf of Mexico,Gulf of Mexico,NA,NA,NMFS/Rutgers IDW Interpolation
Sicyonia brevirostris,Brown rock shrimp,Decapoda (Crabs/Lobster/Shrimp),Gulf of Mexico,Gulf of Mexico,GMFMC,Shrimp Fishery of the Gulf of Mexico,NMFS/Rutgers IDW Interpolation
Sicyonia dorsalis,Lesser rock shrimp,Decapoda (Crabs/Lobster/Shrimp),Gulf of Mexico,Gulf of Mexico,GMFMC,Shrimp Fishery of the Gulf of Mexico,NMFS/Rutgers IDW Interpolation
Solenocera atlantidis,Dwarf humpback shrimp,Decapoda (Crabs/Lobster/Shrimp),Gulf of Mexico,Gulf of Mexico,GMFMC,Shrimp Fishery of the Gulf of Mexico,NMFS/Rutgers IDW Interpolation
Solenocera vioscai,Humpback shrimp,Decapoda (Crabs/Lobster/Shrimp),Gulf of Mexico,Gulf of Mexico,GMFMC,Shrimp Fishery of the Gulf of Mexico,NMFS/Rutgers IDW Interpolation
Sphoeroides dorsalis,Marbled puffer,Tetraodontiformes (puffers and filefishes),Gulf of Mexico,Gulf of Mexico,NA,NA,NMFS/Rutgers IDW Interpolation
Sphoeroides parvus,Least puffer,Tetraodontiformes (puffers and filefishes),Gulf of Mexico,Gulf of Mexico,NA,NA,NMFS/Rutgers IDW Interpolation
Sphoeroides spengleri,Bandtail puffer,Tetraodontiformes (puffers and filefishes),Gulf of Mexico,Gulf of Mexico,NA,NA,NMFS/Rutgers IDW Interpolation
Squilla chydaea,Offshore mantis shrimp,Stomatopoda (mantis shrimp),Gulf of Mexico,Gulf of Mexico,GMFMC,Shrimp Fishery of the Gulf of Mexico,NMFS/Rutgers IDW Interpolation
Squilla empusa,Mantis shrimp,Stomatopoda (mantis shrimp),Gulf of Mexico,Gulf of Mexico,GMFMC,Shrimp Fishery of the Gulf of Mexico,NMFS/Rutgers IDW Interpolation
Squilla rugosa,Mantis shrimp,Stomatopoda (mantis shrimp),Gulf of Mexico,Gulf of Mexico,NA,NA,Not for IDW
Stellifer lanceolatus,Star drum,"Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers)",Gulf of Mexico,Gulf of Mexico,NA,NA,Not for IDW
Stenocionops coelatus,NA,Decapoda (Crabs/Lobster/Shrimp),Gulf of Mexico,Gulf of Mexico,NA,NA,Not for IDW
Stenocionops furcatus,Furcate spider crab,Decapoda (Crabs/Lobster/Shrimp),Gulf of Mexico,Gulf of Mexico,NA,NA,Not for IDW
Stenorhynchus seticornis,Yellowline arrow crab,Decapoda (Crabs/Lobster/Shrimp),Gulf of Mexico,Gulf of Mexico,NA,NA,NMFS/Rutgers IDW Interpolation
Stenorhynchus yangi,Red arrow crab,Decapoda (Crabs/Lobster/Shrimp),Gulf of Mexico,Gulf of Mexico,NA,NA,Not for IDW
Stenotomus caprinus,Longspine porgy,"Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers)",Gulf of Mexico,Gulf of Mexico,NA,NA,NMFS/Rutgers IDW Interpolation
Stephanolepis hispida,Planehead filefish,Tetraodontiformes (puffers and filefishes),Gulf of Mexico,Gulf of Mexico,NA,NA,NMFS/Rutgers IDW Interpolation
Stylocidaris affinis,Pencil urchin,"Echinoidea (sea urchins, sand dollars)",Gulf of Mexico,Gulf of Mexico,NA,NA,NMFS/Rutgers IDW Interpolation
Syacium gunteri,Shoal flounder,Pleuronectiformes (Flatfishes),Gulf of Mexico,Gulf of Mexico,NA,NA,NMFS/Rutgers IDW Interpolation
Syacium papillosum,Dusky flounder,Pleuronectiformes (Flatfishes),Gulf of Mexico,Gulf of Mexico,NA,NA,NMFS/Rutgers IDW Interpolation
Symphurus diomedeanus,Spottedfin tonguefish,Pleuronectiformes (Flatfishes),Gulf of Mexico,Gulf of Mexico,NA,NA,NMFS/Rutgers IDW Interpolation
Symphurus plagiusa,Blackcheek tonguefish,Pleuronectiformes (Flatfishes),Gulf of Mexico,Gulf of Mexico,NA,NA,Not for IDW
Synodus foetens,Inshore lizardfish,"Aulopiformes (Grinners, lizardfish)",Gulf of Mexico,Gulf of Mexico,NA,NA,NMFS/Rutgers IDW Interpolation
Synodus intermedius,Sand diver,"Aulopiformes (Grinners, lizardfish)",Gulf of Mexico,Gulf of Mexico,NA,NA,NMFS/Rutgers IDW Interpolation
Synodus macrostigmus,Largespot lizardfish,"Aulopiformes (Grinners, lizardfish)",Gulf of Mexico,Gulf of Mexico,NA,NA,Not for IDW
Synodus poeyi,Offshore lizardfish,"Aulopiformes (Grinners, lizardfish)",Gulf of Mexico,Gulf of Mexico,NA,NA,NMFS/Rutgers IDW Interpolation
Trachinocephalus myops,Snakefish,"Aulopiformes (Grinners, lizardfish)",Gulf of Mexico,Gulf of Mexico,NA,NA,NMFS/Rutgers IDW Interpolation
Trachurus lathami,Rough scad,Carangiformes (Jacks),Gulf of Mexico,Gulf of Mexico,NA,NA,NMFS/Rutgers IDW Interpolation
Trichiurus lepturus,Atlantic cutlassfish,Scombriformes (Mackerels),Gulf of Mexico,Gulf of Mexico,NA,NA,NMFS/Rutgers IDW Interpolation
Trichopsetta ventralis,Sash flounder,Pleuronectiformes (Flatfishes),Gulf of Mexico,Gulf of Mexico,NA,NA,NMFS/Rutgers IDW Interpolation
Upeneus parvus,Dwarf goatfish,Mulliformes (Goatfishes),Gulf of Mexico,Gulf of Mexico,NA,NA,NMFS/Rutgers IDW Interpolation
Urophycis cirrata,Gulf hake,"Gadiformes (Cods, genadiers, pollock)",Gulf of Mexico,Gulf of Mexico,NA,NA,Not for IDW
Urophycis floridana,Southern hake,"Gadiformes (Cods, genadiers, pollock)",Gulf of Mexico,Gulf of Mexico,NA,NA,Not for IDW
Xyrichtys novacula,Pearly razorfish,"Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers)",Gulf of Mexico,Gulf of Mexico,NA,NA,NMFS/Rutgers IDW Interpolation
Aphareus rutilans,Lehi,"Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers)",Hawai'i Islands,Hawai'i Islands,WPFMC,Hawai'i Archipelago Ecosystem,NMFS/Rutgers IDW Interpolation
Etelis carbunculus,Ehu,"Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers)",Hawai'i Islands,Hawai'i Islands,WPFMC,Hawai'i Archipelago Ecosystem,NMFS/Rutgers IDW Interpolation
Etelis coruscans,Onaga,"Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers)",Hawai'i Islands,Hawai'i Islands,WPFMC,Hawai'i Archipelago Ecosystem,NMFS/Rutgers IDW Interpolation
Hyporthodus quernus,Hapu'upu'u,Perciformes/Serranoidei (Groupers),Hawai'i Islands,Hawai'i Islands,WPFMC,Hawai'i Archipelago Ecosystem,NMFS/Rutgers IDW Interpolation
Pristipomoides filamentosus,Opakapaka,"Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers)",Hawai'i Islands,Hawai'i Islands,WPFMC,Hawai'i Archipelago Ecosystem,NMFS/Rutgers IDW Interpolation
Pristipomoides sieboldii,Kalekale,"Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers)",Hawai'i Islands,Hawai'i Islands,WPFMC,Hawai'i Archipelago Ecosystem,NMFS/Rutgers IDW Interpolation
Pristipomoides zonatus,Gindai,"Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers)",Hawai'i Islands,Hawai'i Islands,WPFMC,Hawai'i Archipelago Ecosystem,NMFS/Rutgers IDW Interpolation
Alosa aestivalis,Blueback herring,"Clupeiformes (Herrings, anchovy, shad)",US East Coast,Northeast US,ASMFC,Interstate Fishery Management Plan,NMFS/Rutgers IDW Interpolation
Alosa pseudoharengus,Alewife,"Clupeiformes (Herrings, anchovy, shad)",US East Coast,Northeast US,ASMFC,Interstate Fishery Management Plan,NMFS/Rutgers IDW Interpolation
Alosa sapidissima,American shad,"Clupeiformes (Herrings, anchovy, shad)",US East Coast,Northeast US,ASMFC,Interstate Fishery Management Plan,NMFS/Rutgers IDW Interpolation
Amblyraja radiata,Thorny skate,"Elasmobranchii: Batoidea (skates, rays)",US East Coast,Northeast US,NEFMC,Northeast Skate Complex,NMFS/Rutgers IDW Interpolation
Ammodytes dubius,Northern sand lance,Perciformes/Uranoscopoidei (Sand dwellers),US East Coast,Northeast US,NA,NA,Not for IDW
Anarhichas lupus,Atlantic wolffish,Perciformes/Zoarcoidei (Eelpouts and pricklebacks),US East Coast,Northeast US,NEFMC,Northeast Multispecies,NMFS/Rutgers IDW Interpolation
Anchoa hepsetus,Striped anchovy,"Clupeiformes (Herrings, anchovy, shad)",US East Coast,Northeast US,NA,NA,Not for IDW
Anchoa mitchilli,Bay anchovy,"Clupeiformes (Herrings, anchovy, shad)",US East Coast,Northeast US,NA,NA,Not for IDW
Antigonia capros,Deepbody boarfish,Acanthuriformes (Surgeonfishes),US East Coast,Northeast US,NA,NA,Not for IDW
Ariomma bondi,Silver rag driftfish,Scombriformes (Mackerels),US East Coast,Northeast US,NA,NA,Not for IDW
Aspidophoroides monopterygius,Alligatorfish,Perciformes/Cottoidei (sculpins),US East Coast,Northeast US,NA,NA,Not for IDW
Atlantopandalus propinqvus,Similar shrimp,NA,US East Coast,Northeast US,NA,NA,Not for IDW
Bathypolypus arcticus,North atlantic octopus,"Cephalopoda (squid, octopus)",US East Coast,Northeast US,NA,NA,Not for IDW
Bathytoshia centroura,Roughtail stingray,"Elasmobranchii: Batoidea (skates, rays)",US East Coast,Northeast US,NA,NA,Not for IDW
Brosme brosme,Cusk,"Gadiformes (Cods, genadiers, pollock)",US East Coast,Northeast US,NA,NA,Not for IDW
Cancer borealis,Jonah crab,Decapoda (Crabs/Lobster/Shrimp),US East Coast,Northeast US,ASMFC,Interstate Fishery Management Plan,NMFS/Rutgers IDW Interpolation
Cancer irroratus,Atlantic rock crab,Decapoda (Crabs/Lobster/Shrimp),US East Coast,Northeast US,NA,NA,NMFS/Rutgers IDW Interpolation
Caranx crysos,Blue runner,Carangiformes (Jacks),US East Coast,Northeast US,NA,NA,Not for IDW
Centropristis striata,Black sea bass,Perciformes/Serranoidei (Groupers),US East Coast,Northeast US,ASMFC,"Summer Flounder, Scup and Black Sea Bass",NMFS/Rutgers IDW Interpolation
Centropristis striata,Black sea bass,Perciformes/Serranoidei (Groupers),US East Coast,Northeast US,MAFMC,"Summer Flounder, Scup and Black Sea Bass",NMFS/Rutgers IDW Interpolation
Chaceon quinquedens,Red deepsea crab,Decapoda (Crabs/Lobster/Shrimp),US East Coast,Northeast US,NEFMC,Deep-sea Red Crab,NMFS/Rutgers IDW Interpolation
Chlorophthalmus agassizi,Shortnose greeneye,"Aulopiformes (Grinners, lizardfish)",US East Coast,Northeast US,NA,NA,Not for IDW
Citharichthys arctifrons,Gulf stream flounder,Pleuronectiformes (Flatfishes),US East Coast,Northeast US,NA,NA,NMFS/Rutgers IDW Interpolation
Clupea harengus,Atlantic herring,"Clupeiformes (Herrings, anchovy, shad)",US East Coast,Northeast US,ASMFC,Interstate Fishery Management Plan,NMFS/Rutgers IDW Interpolation
Clupea harengus,Atlantic herring,"Clupeiformes (Herrings, anchovy, shad)",US East Coast,Northeast US,NEFMC,Atlantic Herring,NMFS/Rutgers IDW Interpolation
Crangon septemspinosa,Sevenspine bay shrimp,Decapoda (Crabs/Lobster/Shrimp),US East Coast,Northeast US,NA,NA,Not for IDW
Cryptacanthodes maculatus,Wrymouth,Perciformes/Zoarcoidei (Eelpouts and pricklebacks),US East Coast,Northeast US,NA,NA,Not for IDW
Cynoscion regalis,Weakfish,"Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers)",US East Coast,Northeast US,ASMFC,Interstate Fishery Management Plan,Not for IDW
Decapterus punctatus,Round scad,Carangiformes (Jacks),US East Coast,Northeast US,NA,NA,Not for IDW
Dichelopandalus leptocerus,Bristled longbeak,Decapoda (Crabs/Lobster/Shrimp),US East Coast,Northeast US,NA,NA,Not for IDW
Dipturus laevis,Barndoor skate,"Elasmobranchii: Batoidea (skates, rays)",US East Coast,Northeast US,NEFMC,Northeast Skate Complex,NMFS/Rutgers IDW Interpolation
Doryteuthis pealeii,Longfin inshore squid,"Cephalopoda (squid, octopus)",US East Coast,Northeast US,NEFMC,"Mackerel, Squid and Butterfish",NMFS/Rutgers IDW Interpolation
Enchelyopus cimbrius,Fourbeard rockling,"Gadiformes (Cods, genadiers, pollock)",US East Coast,Northeast US,NA,NA,Not for IDW
Etropus microstomus,Smallmouth flounder,Pleuronectiformes (Flatfishes),US East Coast,Northeast US,NA,NA,Not for IDW
Etrumeus sadina,Round herring,"Clupeiformes (Herrings, anchovy, shad)",US East Coast,Northeast US,NA,NA,Not for IDW
Gadus morhua,Atlantic cod,"Gadiformes (Cods, genadiers, pollock)",US East Coast,Northeast US,NEFMC,Northeast Multispecies,NMFS/Rutgers IDW Interpolation
Glyptocephalus cynoglossus,Witch flounder,Pleuronectiformes (Flatfishes),US East Coast,Northeast US,NEFMC,Northeast Multispecies,NMFS/Rutgers IDW Interpolation
Helicolenus dactylopterus,Blackbelly rosefish,Perciformes/Scorpaenoidei (Scorpionfishes),US East Coast,Northeast US,NA,NA,Not for IDW
Hemitripterus americanus,Sea raven,Perciformes/Cottoidei (sculpins),US East Coast,Northeast US,NA,NA,NMFS/Rutgers IDW Interpolation
Hippoglossina oblonga,American fourspot flounder,Pleuronectiformes (Flatfishes),US East Coast,Northeast US,NA,NA,NMFS/Rutgers IDW Interpolation
Hippoglossoides platessoides,American plaice,Pleuronectiformes (Flatfishes),US East Coast,Northeast US,NEFMC,Northeast Multispecies,NMFS/Rutgers IDW Interpolation
Hippoglossus hippoglossus,Atlantic halibut,Pleuronectiformes (Flatfishes),US East Coast,Northeast US,NEFMC,Northeast Multispecies,NMFS/Rutgers IDW Interpolation
Homarus americanus,American lobster,Decapoda (Crabs/Lobster/Shrimp),US East Coast,Northeast US,ASMFC,Interstate Fishery Management Plan,NMFS/Rutgers IDW Interpolation
Hypanus say,Bluntnose stingray,"Elasmobranchii: Batoidea (skates, rays)",US East Coast,Northeast US,NA,NA,Not for IDW
Illex illecebrosus,Northern shortfin squid,"Cephalopoda (squid, octopus)",US East Coast,Northeast US,MAFMC,"Mackerel, Squid and Butterfish",NMFS/Rutgers IDW Interpolation
Larimus fasciatus,Banded drum,"Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers)",US East Coast,Northeast US,NA,NA,Not for IDW
Lebbeus polaris,Polar lebbeid,Decapoda (Crabs/Lobster/Shrimp),US East Coast,Northeast US,NA,NA,Not for IDW
Leiostomus xanthurus,Spot,"Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers)",US East Coast,Northeast US,ASMFC,Interstate Fishery Management Plan,Not for IDW
Lepophidium profundorum,Fawn cusk-eel,Ophidiiformes (Cusk eels),US East Coast,Northeast US,NA,NA,NMFS/Rutgers IDW Interpolation
Leucoraja erinaceus,Little skate,"Elasmobranchii: Batoidea (skates, rays)",US East Coast,Northeast US,NEFMC,Northeast Skate Complex,NMFS/Rutgers IDW Interpolation
Leucoraja garmani,Rosette skate,"Elasmobranchii: Batoidea (skates, rays)",US East Coast,Northeast US,NEFMC,Northeast Skate Complex,NMFS/Rutgers IDW Interpolation
Leucoraja ocellata,Winter skate,"Elasmobranchii: Batoidea (skates, rays)",US East Coast,Northeast US,NEFMC,Northeast Skate Complex,NMFS/Rutgers IDW Interpolation
Limulus polyphemus,Horseshoe crab,Xiphosura (horseshoe crabs),US East Coast,Northeast US,ASMFC,Interstate Fishery Management Plan,NMFS/Rutgers IDW Interpolation
Lithodes maja,Norway king crab,Decapoda (Crabs/Lobster/Shrimp),US East Coast,Northeast US,NA,NA,Not for IDW
Lophius americanus,Monkfish,Lophiiformes (Anglerfishes),US East Coast,Northeast US,MAFMC,Monkfish,NMFS/Rutgers IDW Interpolation
Lophius americanus,Monkfish,Lophiiformes (Anglerfishes),US East Coast,Northeast US,NEFMC,Monkfish,NMFS/Rutgers IDW Interpolation
Malacoraja senta,Smooth skate,"Elasmobranchii: Batoidea (skates, rays)",US East Coast,Northeast US,NEFMC,Northeast Skate Complex,NMFS/Rutgers IDW Interpolation
Maurolicus weitzmani,Atlantic pearlside,Stomiiformes (Lightfishes and dragonfishes),US East Coast,Northeast US,NA,NA,Not for IDW
Melanogrammus aeglefinus,Haddock,"Gadiformes (Cods, genadiers, pollock)",US East Coast,Northeast US,NEFMC,Northeast Multispecies,NMFS/Rutgers IDW Interpolation
Menidia menidia,Atlantic silverside,Atheriniformes (Silversides),US East Coast,Northeast US,NA,NA,Not for IDW
Menticirrhus americanus,Southern kingfish,"Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers)",US East Coast,Northeast US,NA,NA,Not for IDW
Menticirrhus saxatilis,Northern kingfish,"Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers)",US East Coast,Northeast US,NA,NA,Not for IDW
Merluccius albidus,Offshore hake,"Gadiformes (Cods, genadiers, pollock)",US East Coast,Northeast US,NEFMC,Northeast Multispecies,NMFS/Rutgers IDW Interpolation
Merluccius bilinearis,Silver hake,"Gadiformes (Cods, genadiers, pollock)",US East Coast,Northeast US,NEFMC,Northeast Multispecies,NMFS/Rutgers IDW Interpolation
Micropogonias undulatus,Atlantic croaker,"Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers)",US East Coast,Northeast US,ASMFC,Interstate Fishery Management Plan,NMFS/Rutgers IDW Interpolation
Mustelus canis,Smooth dogfish,Elasmobranchii: Selachii (sharks),US East Coast,Northeast US,Atlantic HMS,Consolidated Atlantic Highly Migratory Species,NMFS/Rutgers IDW Interpolation
Myliobatis freminvillei,Bullnose eagle ray,"Elasmobranchii: Batoidea (skates, rays)",US East Coast,Northeast US,NA,NA,Not for IDW
Myoxocephalus octodecemspinosus,Longhorn sculpin,Perciformes/Cottoidei (sculpins),US East Coast,Northeast US,NA,NA,NMFS/Rutgers IDW Interpolation
Myxine glutinosa,Atlantic hagfish,Myxiniformes (Hagfishes),US East Coast,Northeast US,NA,NA,Not for IDW
Myzopsetta ferruginea,Yellowtail flounder,Pleuronectiformes (Flatfishes),US East Coast,Northeast US,NEFMC,Northeast Multispecies,NMFS/Rutgers IDW Interpolation
Opisthonema oglinum,Atlantic thread herring,"Clupeiformes (Herrings, anchovy, shad)",US East Coast,Northeast US,NA,NA,Not for IDW
Orthopristis chrysoptera,Pigfish,"Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers)",US East Coast,Northeast US,NA,NA,Not for IDW
Ovalipes ocellatus,Ocellate lady crab,Decapoda (Crabs/Lobster/Shrimp),US East Coast,Northeast US,NA,NA,Not for IDW
Ovalipes stephensoni,Coarsehand lady crab,Decapoda (Crabs/Lobster/Shrimp),US East Coast,Northeast US,NA,NA,Not for IDW
Pandalus borealis,Atlantic northern shrimp,Decapoda (Crabs/Lobster/Shrimp),US East Coast,Northeast US,ASMFC,Interstate Fishery Management Plan,NMFS/Rutgers IDW Interpolation
Pandalus montagui,Aesop shrimp,Decapoda (Crabs/Lobster/Shrimp),US East Coast,Northeast US,NA,NA,Not for IDW
Paralichthys dentatus,Summer flounder,Pleuronectiformes (Flatfishes),US East Coast,Northeast US,ASMFC,"Summer Flounder, Scup and Black Sea Bass",NMFS/Rutgers IDW Interpolation
Paralichthys dentatus,Summer flounder,Pleuronectiformes (Flatfishes),US East Coast,Northeast US,MAFMC,"Summer Flounder, Scup and Black Sea Bass",NMFS/Rutgers IDW Interpolation
Pasiphaea multidentata,Pink glass shrimp,Decapoda (Crabs/Lobster/Shrimp),US East Coast,Northeast US,NA,NA,Not for IDW
Peprilus triacanthus,American butterfish,Scombriformes (Mackerels),US East Coast,Northeast US,MAFMC,"Mackerel, Squid and Butterfish",NMFS/Rutgers IDW Interpolation
Peristedion miniatum,Armored searobin,Perciformes/Scorpaenoidei (Scorpionfishes),US East Coast,Northeast US,NA,NA,Not for IDW
Phycis chesteri,Longfin hake,"Gadiformes (Cods, genadiers, pollock)",US East Coast,Northeast US,NA,NA,NMFS/Rutgers IDW Interpolation
Placopecten magellanicus,Atlantic sea scallop,"Bivalvia (clams, muscles, oyster, arks, etc)",US East Coast,Northeast US,NEFMC,Atlantic Sea Scallop,NMFS/Rutgers IDW Interpolation
Pollachius virens,Pollock,"Gadiformes (Cods, genadiers, pollock)",US East Coast,Northeast US,NEFMC,Northeast Multispecies,NMFS/Rutgers IDW Interpolation
Polymixia lowei,Beardfish,Polymixiiformes (Beardfishes),US East Coast,Northeast US,NA,NA,Not for IDW
Pomatomus saltatrix,Bluefish,Scombriformes (Mackerels),US East Coast,Northeast US,ASMFC,Bluefish,NMFS/Rutgers IDW Interpolation
Pomatomus saltatrix,Bluefish,Scombriformes (Mackerels),US East Coast,Northeast US,MAFMC,Bluefish,NMFS/Rutgers IDW Interpolation
Pontophilus norvegicus,Norwegian shrimp,Decapoda (Crabs/Lobster/Shrimp),US East Coast,Northeast US,NA,NA,Not for IDW
Prionotus carolinus,Northern searobin,Perciformes/Scorpaenoidei (Scorpionfishes),US East Coast,Northeast US,NA,NA,NMFS/Rutgers IDW Interpolation
Prionotus evolans,Striped searobin,Perciformes/Scorpaenoidei (Scorpionfishes),US East Coast,Northeast US,NA,NA,Not for IDW
Pseudopleuronectes americanus,Winter flounder,Pleuronectiformes (Flatfishes),US East Coast,Northeast US,ASMFC,Northeast Multispecies,NMFS/Rutgers IDW Interpolation
Pseudopleuronectes americanus,Winter flounder,Pleuronectiformes (Flatfishes),US East Coast,Northeast US,NEFMC,Northeast Multispecies,NMFS/Rutgers IDW Interpolation
Rhizoprionodon terraenovae,Atlantic sharpnose shark,Elasmobranchii: Selachii (sharks),US East Coast,Northeast US,Atlantic HMS,Consolidated Atlantic Highly Migratory Species,NMFS/Rutgers IDW Interpolation
Rostroraja eglanteria,Clearnose skate,"Elasmobranchii: Batoidea (skates, rays)",US East Coast,Northeast US,NEFMC,Northeast Skate Complex,NMFS/Rutgers IDW Interpolation
Sardinella aurita,Spanish sardine,"Clupeiformes (Herrings, anchovy, shad)",US East Coast,Northeast US,NA,NA,Not for IDW
Scomber scombrus,Atlantic mackerel,Scombriformes (Mackerels),US East Coast,Northeast US,MAFMC,"Mackerel, Squid and Butterfish",NMFS/Rutgers IDW Interpolation
Scomberesox saurus,Atlantic saury,Scombriformes (Mackerels),US East Coast,Northeast US,NA,NA,Not for IDW
Scomberomorus maculatus,Spanish mackerel,Scombriformes (Mackerels),US East Coast,Northeast US,NA,NA,Not for IDW
Scophthalmus aquosus,Windowpane flounder,Pleuronectiformes (Flatfishes),US East Coast,Northeast US,NEFMC,Northeast Multispecies,NMFS/Rutgers IDW Interpolation
Scyliorhinus retifer,Chain catshark,Elasmobranchii: Selachii (sharks),US East Coast,Northeast US,NA,NA,Not for IDW
Sebastes fasciatus,Acadian redfish,Perciformes/Scorpaenoidei (Scorpionfishes),US East Coast,Northeast US,NEFMC,Northeast Multispecies,NMFS/Rutgers IDW Interpolation
Selene setapinnis,Atlantic moonfish,Carangiformes (Jacks),US East Coast,Northeast US,NA,NA,Not for IDW
Sphoeroides maculatus,Northern puffer,Tetraodontiformes (puffers and filefishes),US East Coast,Northeast US,NA,NA,Not for IDW
Sphyraena borealis,Northern sennet,"Carangaria/misc (barracuda, threadfins)",US East Coast,Northeast US,NA,NA,Not for IDW
Squalus acanthias,Spiny dogfish,Elasmobranchii: Selachii (sharks),US East Coast,Northeast US,ASMFC,Interstate Fishery Management Plan,NMFS/Rutgers IDW Interpolation
Squalus acanthias,Spiny dogfish,Elasmobranchii: Selachii (sharks),US East Coast,Northeast US,MAFMC,Spiny Dogfish,NMFS/Rutgers IDW Interpolation
Squalus acanthias,Spiny dogfish,Elasmobranchii: Selachii (sharks),US East Coast,Northeast US,NEFMC,Spiny Dogfish,NMFS/Rutgers IDW Interpolation
Stenotomus chrysops,Scup,"Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers)",US East Coast,Northeast US,ASMFC,"Summer Flounder, Scup and Black Sea Bass",NMFS/Rutgers IDW Interpolation
Stenotomus chrysops,Scup,"Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers)",US East Coast,Northeast US,MAFMC,"Summer Flounder, Scup and Black Sea Bass",NMFS/Rutgers IDW Interpolation
Synodus foetens,Inshore lizardfish,"Aulopiformes (Grinners, lizardfish)",US East Coast,Northeast US,NA,NA,Not for IDW
Tautogolabrus adspersus,Cunner,"Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers)",US East Coast,Northeast US,NA,NA,Not for IDW
Trachurus lathami,Rough scad,Carangiformes (Jacks),US East Coast,Northeast US,NA,NA,Not for IDW
Trichiurus lepturus,Atlantic cutlassfish,Scombriformes (Mackerels),US East Coast,Northeast US,NA,NA,Not for IDW
Urophycis chuss,Red hake,"Gadiformes (Cods, genadiers, pollock)",US East Coast,Northeast US,NEFMC,Northeast Multispecies,NMFS/Rutgers IDW Interpolation
Urophycis regia,Spotted hake,"Gadiformes (Cods, genadiers, pollock)",US East Coast,Northeast US,NA,NA,NMFS/Rutgers IDW Interpolation
Urophycis tenuis,White hake,"Gadiformes (Cods, genadiers, pollock)",US East Coast,Northeast US,NEFMC,Northeast Multispecies,NMFS/Rutgers IDW Interpolation
Zenopsis conchifer,Silvery john dory,Zeiformes,US East Coast,Northeast US,NA,NA,Not for IDW
Zoarces americanus,Ocean pout,Perciformes/Zoarcoidei (Eelpouts and pricklebacks),US East Coast,Northeast US,NEFMC,Northeast Multispecies,NMFS/Rutgers IDW Interpolation
Acanthostracion quadricornis,Scrawled cowfish,Tetraodontiformes (puffers and filefishes),US East Coast,Southeast US,NA,NA,Not for IDW
Achelous gibbesii,Iridescent swimming crab,Decapoda (Crabs/Lobster/Shrimp),US East Coast,Southeast US,NA,NA,NMFS/Rutgers IDW Interpolation
Achelous spinimanus,Blotched swimming crab,Decapoda (Crabs/Lobster/Shrimp),US East Coast,Southeast US,NA,NA,NMFS/Rutgers IDW Interpolation
Aetobatus narinari,Spotted eagle ray,"Elasmobranchii: Batoidea (skates, rays)",US East Coast,Southeast US,NA,NA,Not for IDW
Alectis ciliaris,African pompano,Carangiformes (Jacks),US East Coast,Southeast US,NA,NA,Not for IDW
Alosa aestivalis,Blueback herring,"Clupeiformes (Herrings, anchovy, shad)",US East Coast,Southeast US,ASMFC,Interstate Fishery Management Plan,Not for IDW
Aluterus schoepfii,Orange filefish,Tetraodontiformes (puffers and filefishes),US East Coast,Southeast US,NA,NA,Not for IDW
Anchoa spp.,Anchovies,"Clupeiformes (Herrings, anchovy, shad)",US East Coast,Southeast US,NA,NA,NMFS/Rutgers IDW Interpolation
Ancylopsetta quadrocellata,Ocellated flounder,Pleuronectiformes (Flatfishes),US East Coast,Southeast US,NA,NA,NMFS/Rutgers IDW Interpolation
Archosargus probatocephalus,Sheepshead,"Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers)",US East Coast,Southeast US,NA,NA,Not for IDW
Arenaeus cribrarius,Speckled swimming crab,Decapoda (Crabs/Lobster/Shrimp),US East Coast,Southeast US,NA,NA,NMFS/Rutgers IDW Interpolation
Ariopsis felis,Hardhead catfish,Siluriformes (catfishes),US East Coast,Southeast US,NA,NA,Not for IDW
Bagre marinus,Gafftopsail catfish,Siluriformes (catfishes),US East Coast,Southeast US,NA,NA,Not for IDW
