spp,common,FilterRegion,FilterSubRegion,Taxonomic.Grouping,Management.Body,Management.Plan
Acantholumpenus mackayi,Pighead prickleback,Alaska,Northern Bering Sea,Perciformes/Zoarcoidei (Eelpouts and pricklebacks),,
Acanthostracion quadricornis,Scrawled cowfish,Gulf of Mexico,Gulf of Mexico,Tetraodontiformes (puffers and filefishes),,
Achelous gibbesii,Iridescent swimming crab,Gulf of Mexico,Gulf of Mexico,Decapoda (Crabs/Lobster/Shrimp),,
Achelous gibbesii,Iridescent swimming crab,US East Coast,Southeast,Decapoda (Crabs/Lobster/Shrimp),,
Achelous spinicarpus,Longspine swimming crab,Gulf of Mexico,Gulf of Mexico,Decapoda (Crabs/Lobster/Shrimp),,
Achelous spinimanus,Blotched swimming crab,Gulf of Mexico,Gulf of Mexico,Decapoda (Crabs/Lobster/Shrimp),,
Achelous spinimanus,Blotched swimming crab,US East Coast,Southeast,Decapoda (Crabs/Lobster/Shrimp),,
Actinauge verrillii,Reticulate anemone,Alaska,Gulf of Alaska,"Cnidaria (jellyfish, corals, anenomes) ",,
Actinauge verrillii,Reticulate anemone,US West Coast,West Coast,"Cnidaria (jellyfish, corals, anenomes) ",,
Actinostola faeculenta,Hobnail vase anemone,US West Coast,West Coast,"Cnidaria (jellyfish, corals, anenomes) ",,
Albatrossia pectoralis,Giant grenadier,US West Coast,West Coast,"Gadiformes (Cods, genadiers, pollock) ",PFMC,Pacific Coast Groundfish
Alepocephalus tenebrosus,California slickhead,US West Coast,West Coast,Alepocephaliformes (Slickheads and tubeshoulders.),,
Alosa aestivalis,Blueback herring,US East Coast,Northeast,"Clupeiformes (Herrings, anchovy, shad)",ASMFC,Interstate Fishery Management Plan 
Alosa pseudoharengus,Alewife,US East Coast,Northeast,"Clupeiformes (Herrings, anchovy, shad)",ASMFC,Interstate Fishery Management Plan 
Alosa sapidissima,American shad,US East Coast,Northeast,"Clupeiformes (Herrings, anchovy, shad)",ASMFC,Interstate Fishery Management Plan 
Alosa sapidissima,American shad,US West Coast,West Coast,"Clupeiformes (Herrings, anchovy, shad)",,
Aluterus schoepfii,Orange filefish,Gulf of Mexico,Gulf of Mexico,Tetraodontiformes (puffers and filefishes),,
Amblyraja radiata,Thorny skate,US East Coast,Northeast,"Elasmobranchi:Batoidea (skates, rays) ",NEFMC,Northeast Skate Complex
Anarhichas lupus,Atlantic wolffish,US East Coast,Northeast,Perciformes/Zoarcoidei (Eelpouts and pricklebacks),NEFMC,Northeast Multispecies
Anasimus latus,Stilt spider crab,Gulf of Mexico,Gulf of Mexico,Decapoda (Crabs/Lobster/Shrimp),,
Anchoa hepsetus,Striped anchovy,Gulf of Mexico,Gulf of Mexico,"Clupeiformes (Herrings, anchovy, shad)",,
Anchoa spp.,Anchovies,US East Coast,Southeast,"Clupeiformes (Herrings, anchovy, shad)",,
Ancylopsetta quadrocellata,Ocellated flounder,Gulf of Mexico,Gulf of Mexico,Pleuronectiformes (Flatfishes) ,,
Ancylopsetta quadrocellata,Ocellated flounder,US East Coast,Southeast,Pleuronectiformes (Flatfishes) ,,
Anoplopoma fimbria,Sablefish,Alaska,Aleutian Islands,Perciformes/Cottoidei (sculpins),NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area
Anoplopoma fimbria,Sablefish,Alaska,Gulf of Alaska,Perciformes/Cottoidei (sculpins),NPFMC,Groundfish of the Gulf of Alaska
Anoplopoma fimbria,Sablefish,US West Coast,West Coast,Perciformes/Cottoidei (sculpins),PFMC,Pacific Coast Groundfish
Anthoptilum grandiflorum,Feather boa sea pen,US West Coast,West Coast,"Cnidaria (jellyfish, corals, anenomes) ",,
Antimora microlepis,Finescale mora,US West Coast,West Coast,"Gadiformes (Cods, genadiers, pollock) ",PFMC,Pacific Coast Groundfish
Aphareus rutilans,Lehi,Hawaii,Hawaii,"Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers) ",WPFMC,Hawaii Archipelago Ecosystem
Aphrocallistes vastus,Cloud sponge,Alaska,Aleutian Islands,Porifera (sponges),,
Aphrocallistes vastus,Cloud sponge,Alaska,Gulf of Alaska,Porifera (sponges),,
Apostichopus californicus,Giant california sea cucumber,US West Coast,West Coast,Holothuroidea (sea cucumbers),,
Apostichopus leukothele,White-knobbed sea cucumber,US West Coast,West Coast,Holothuroidea (sea cucumbers),,
Apristurus brunneus,Brown catshark,US West Coast,West Coast,Elasmobranchi:Selachi (sharks),,
Arctoraja parmifera,Alaska skate,Alaska,Northern Bering Sea,"Elasmobranchi:Batoidea (skates, rays) ",NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area
Arenaeus cribrarius,Speckled swimming crab,US East Coast,Southeast,Decapoda (Crabs/Lobster/Shrimp),,
Aspidophoroides olrikii,Arctic alligatorfish,Alaska,Northern Bering Sea,Perciformes/Cottoidei (sculpins),,
Asterias amurensis,North pacific seastar,Alaska,Eastern Bering Sea,Asteroidea (starfishes) ,,
Asterias amurensis,North pacific seastar,Alaska,Northern Bering Sea,Asteroidea (starfishes) ,,
Atheresthes stomias,Arrowtooth flounder,US West Coast,West Coast,Pleuronectiformes (Flatfishes) ,PFMC,Pacific Coast Groundfish
Atheresthes stomias,Arrowtooth flounder,Alaska,Gulf of Alaska,Pleuronectiformes (Flatfishes) ,NPFMC,Groundfish of the Gulf of Alaska
Atheresthes stomias and A. evermanni,Arrowtooth and kamchatka flounders,Alaska,Aleutian Islands,Pleuronectiformes (Flatfishes) ,NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area
Atheresthes stomias and A. evermanni,Arrowtooth and kamchatka flounders,Alaska,Eastern Bering Sea,Pleuronectiformes (Flatfishes) ,NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area
Axinella blanca,,Alaska,Aleutian Islands,Porifera (sponges),,
Bairdiella chrysoura,Silver perch,US East Coast,Southeast,"Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers) ",,
Balistes capriscus,Gray triggerfish,Gulf of Mexico,Gulf of Mexico,Tetraodontiformes (puffers and filefishes),GMFMC,Reef Fish Resources of the Gulf of Mexico
Bathybembix bairdii,,US West Coast,West Coast,Gastropoda (sea snails and slugs),,
Bathymaster signatus,Searcher,Alaska,Aleutian Islands,Perciformes/Zoarcoidei (Eelpouts and pricklebacks),,
Bathymaster signatus,Searcher,Alaska,Eastern Bering Sea,Perciformes/Zoarcoidei (Eelpouts and pricklebacks),,
Bathymaster signatus,Searcher,Alaska,Gulf of Alaska,Perciformes/Zoarcoidei (Eelpouts and pricklebacks),,
Bathyraja spp.,Skate complex,Alaska,Aleutian Islands,"Elasmobranchi:Batoidea (skates, rays) ",NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area
Bathyraja spp.,Skate complex,Alaska,Gulf of Alaska,"Elasmobranchi:Batoidea (skates, rays) ",NPFMC,Groundfish of the Gulf of Alaska
Bathyraja spp.,Skate complex,US West Coast,West Coast,"Elasmobranchi:Batoidea (skates, rays) ",PFMC,Pacific Coast Groundfish
Bellator militaris,Horned searobin,Gulf of Mexico,Gulf of Mexico,Perciformes/Scorpaenoidei (Scorpionfishes),,
Beringraja binoculata,Big skate,Alaska,Gulf of Alaska,"Elasmobranchi:Batoidea (skates, rays) ",NPFMC,Groundfish of the Gulf of Alaska
Beringraja binoculata,Big skate,US West Coast,West Coast,"Elasmobranchi:Batoidea (skates, rays) ",PFMC,Pacific Coast Groundfish
Beringraja inornata,California skate,US West Coast,West Coast,"Elasmobranchi:Batoidea (skates, rays) ",PFMC,Pacific Coast Groundfish
Beringraja rhina,Longnose skate,Alaska,Gulf of Alaska,"Elasmobranchi:Batoidea (skates, rays) ",NPFMC,Groundfish of the Gulf of Alaska
Beringraja rhina,Longnose skate,US West Coast,West Coast,"Elasmobranchi:Batoidea (skates, rays) ",PFMC,Pacific Coast Groundfish
Berryteuthis magister,Magister armhook squid,Alaska,Aleutian Islands,"Cephalopoda (squid, octopus)",NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area
Berryteuthis magister,Magister armhook squid,Alaska,Gulf of Alaska,"Cephalopoda (squid, octopus)",NPFMC,Groundfish of the Gulf of Alaska
Boltenia ovifera,Stalked sea squirt,Alaska,Eastern Bering Sea,"Tunicata (sea squirts, tunicates, salps) ",,
Boltenia ovifera,Stalked sea squirt,Alaska,Northern Bering Sea,"Tunicata (sea squirts, tunicates, salps) ",,
Boreogadus saida,Arctic cod,Alaska,Northern Bering Sea,"Gadiformes (Cods, genadiers, pollock) ",,
Bothrocara brunneum,Twoline eelpout,US West Coast,West Coast,Perciformes/Zoarcoidei (Eelpouts and pricklebacks),,
Bothus robinsi,Twospot flounder,Gulf of Mexico,Gulf of Mexico,Pleuronectiformes (Flatfishes) ,,
Brevoortia tyrannus,Atlantic menhaden,US East Coast,Southeast,"Clupeiformes (Herrings, anchovy, shad)",ASMFC,Interstate Fishery Management Plan 
Brisaster latifrons,Northern heart urchin,Alaska,Gulf of Alaska,"Echinoidea (sea urchins, sand dollars) ",,
Brisaster latifrons,Northern heart urchin,US West Coast,West Coast,"Echinoidea (sea urchins, sand dollars) ",,
Buccinum angulosum,Angular whelk,Alaska,Eastern Bering Sea,Gastropoda (sea snails and slugs),,
Buccinum angulosum,Angular whelk,Alaska,Northern Bering Sea,Gastropoda (sea snails and slugs),,
Buccinum polare,Polar whelk,Alaska,Eastern Bering Sea,Gastropoda (sea snails and slugs),,
Buccinum polare,Polar whelk,Alaska,Northern Bering Sea,Gastropoda (sea snails and slugs),,
Buccinum scalariforme,Ladder whelk,Alaska,Eastern Bering Sea,Gastropoda (sea snails and slugs),,
Buccinum scalariforme,Ladder whelk,Alaska,Northern Bering Sea,Gastropoda (sea snails and slugs),,
Calamus proridens,Littlehead porgy,Gulf of Mexico,Gulf of Mexico,"Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers) ",,
Calappa sulcata,Yellow box crab,Gulf of Mexico,Gulf of Mexico,Decapoda (Crabs/Lobster/Shrimp),,
Callinectes ornatus,Shelling crab,US East Coast,Southeast,Decapoda (Crabs/Lobster/Shrimp),,
Callinectes sapidus,Blue crab,Gulf of Mexico,Gulf of Mexico,Decapoda (Crabs/Lobster/Shrimp),GSMFC,Interstate Fishery Management Plan 
Callinectes sapidus,Blue crab,US East Coast,Southeast,Decapoda (Crabs/Lobster/Shrimp),,
Callinectes similis,Lesser blue crab,Gulf of Mexico,Gulf of Mexico,Decapoda (Crabs/Lobster/Shrimp),,
Callinectes similis,Lesser blue crab,US East Coast,Southeast,Decapoda (Crabs/Lobster/Shrimp),,
Callogorgia compressa,,Alaska,Aleutian Islands,"Cnidaria (jellyfish, corals, anenomes) ",,
Cancer borealis,Jonah crab,US East Coast,Northeast,Decapoda (Crabs/Lobster/Shrimp),ASMFC,Interstate Fishery Management Plan 
Cancer irroratus,Atlantic rock crab,US East Coast,Northeast,Decapoda (Crabs/Lobster/Shrimp),,
Caranx crysos,Blue runner,US East Coast,Southeast,Carangiformes (Jacks),,
Careproctus melanurus,Blacktail snailfish,US West Coast,West Coast,Perciformes/Cottoidei (sculpins),,
Centropristis ocyurus,Bank sea bass,Gulf of Mexico,Gulf of Mexico,Perciformes/Serranoidei (Groupers),,
Centropristis philadelphica,Rock sea bass,Gulf of Mexico,Gulf of Mexico,Perciformes/Serranoidei (Groupers),,
Centropristis philadelphica,Rock sea bass,US East Coast,Southeast,Perciformes/Serranoidei (Groupers),SAFMC,Snapper-Grouper Fishery of the South Atlantic Region
Centropristis striata,Black sea bass,US East Coast,Northeast,Perciformes/Serranoidei (Groupers),ASMFC,"Summer Flounder, Scup and Black Sea Bass"
Centropristis striata,Black sea bass,US East Coast,Northeast,Perciformes/Serranoidei (Groupers),MAFMC,"Summer Flounder, Scup and Black Sea Bass"
Centropristis striata,Black sea bass,US East Coast,Southeast,Perciformes/Serranoidei (Groupers),SAFMC,Snapper-Grouper Fishery of the South Atlantic Region
Chaceon quinquedens,Red deepsea crab,US East Coast,Northeast,Decapoda (Crabs/Lobster/Shrimp),NEFMC,Deep-sea red crab
Chaetodipterus faber,Atlantic spadefish,US East Coast,Southeast,Acanthuriformes (Surgeonfishes),SAFMC,Snapper-Grouper Fishery of the South Atlantic Region
Chaetodon ocellatus,Spotfin butterflyfish,Gulf of Mexico,Gulf of Mexico,Acanthuriformes (Surgeonfishes),,
Chauliodus macouni,Pacific viperfish,US West Coast,West Coast,Stomiiformes (Lightfishes and dragonfishes),,
Cheiraster (Luidiaster) dawsoni,,Alaska,Aleutian Islands,Asteroidea (starfishes) ,,
Chilomycterus schoepfii,Striped burrfish,Gulf of Mexico,Gulf of Mexico,Tetraodontiformes (puffers and filefishes),,
Chilomycterus schoepfii,Striped burrfish,US East Coast,Southeast,Tetraodontiformes (puffers and filefishes),,
Chionoecetes bairdi,Tanner crab,Alaska,Aleutian Islands,Decapoda (Crabs/Lobster/Shrimp),NPFMC,Bering Sea/Aleutian Islands King and Tanner Crabs
Chionoecetes bairdi,Tanner crab,Alaska,Eastern Bering Sea,Decapoda (Crabs/Lobster/Shrimp),NPFMC,Bering Sea/Aleutian Islands King and Tanner Crabs
Chionoecetes bairdi,Tanner crab,Alaska,Gulf of Alaska,Decapoda (Crabs/Lobster/Shrimp),,
Chionoecetes opilio,Snow crab,Alaska,Eastern Bering Sea,Decapoda (Crabs/Lobster/Shrimp),NPFMC,Bering Sea/Aleutian Islands King and Tanner Crabs
Chionoecetes opilio,Snow crab,Alaska,Northern Bering Sea,Decapoda (Crabs/Lobster/Shrimp),,
Chionoecetes tanneri,Grooved tanner crab,US West Coast,West Coast,Decapoda (Crabs/Lobster/Shrimp),,
Chloroscombrus chrysurus,Atlantic bumper,Gulf of Mexico,Gulf of Mexico,Carangiformes (Jacks),,
Chloroscombrus chrysurus,Atlantic bumper,US East Coast,Southeast,Carangiformes (Jacks),,
Chorilia longipes,Longhorn decorator crab,US West Coast,West Coast,Decapoda (Crabs/Lobster/Shrimp),,
Chrysaora melanaster,,Alaska,Northern Bering Sea,"Cnidaria (jellyfish, corals, anenomes) ",,
Citharichthys arctifrons,Gulf stream flounder,US East Coast,Northeast,Pleuronectiformes (Flatfishes) ,,
Citharichthys macrops,Spotted whiff,Gulf of Mexico,Gulf of Mexico,Pleuronectiformes (Flatfishes) ,,
Citharichthys macrops,Spotted whiff,US East Coast,Southeast,Pleuronectiformes (Flatfishes) ,,
Citharichthys sordidus,Pacific sanddab,US West Coast,West Coast,Pleuronectiformes (Flatfishes) ,PFMC,Pacific Coast Groundfish
Citharichthys spilopterus,Bay whiff,Gulf of Mexico,Gulf of Mexico,Pleuronectiformes (Flatfishes) ,,
Citharichthys spilopterus,Bay whiff,US East Coast,Southeast,Pleuronectiformes (Flatfishes) ,,
Clinopegma magnum,Helmet whelk,Alaska,Eastern Bering Sea,Gastropoda (sea snails and slugs),,
Clupea harengus,Atlantic herring,US East Coast,Northeast,"Clupeiformes (Herrings, anchovy, shad)",ASMFC,Interstate Fishery Management Plan 
Clupea harengus,Atlantic herring,US East Coast,Northeast,"Clupeiformes (Herrings, anchovy, shad)",NEFMC,Atlantic Herring
Clupea pallasii,Pacific herring,Alaska,Eastern Bering Sea,"Clupeiformes (Herrings, anchovy, shad)",NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area
Clupea pallasii,Pacific herring,Alaska,Northern Bering Sea,"Clupeiformes (Herrings, anchovy, shad)",,
Clupea pallasii,Pacific herring,Alaska,Gulf of Alaska,"Clupeiformes (Herrings, anchovy, shad)",NPFMC,Groundfish of the Gulf of Alaska
Clupea pallasii,Pacific herring,US West Coast,West Coast,"Clupeiformes (Herrings, anchovy, shad)",,
Coryphaenoides acrolepis,Pacific grenadier,US West Coast,West Coast,"Gadiformes (Cods, genadiers, pollock) ",PFMC,Pacific Coast Groundfish
Crossaster borealis,Grooved sun star,US West Coast,West Coast,Asteroidea (starfishes) ,,
Crossaster papposus,Common sunstar,Alaska,Aleutian Islands,Asteroidea (starfishes) ,,
Crossaster papposus,Common sunstar,Alaska,Eastern Bering Sea,Asteroidea (starfishes) ,,
Crossaster papposus,Common sunstar,Alaska,Northern Bering Sea,Asteroidea (starfishes) ,,
Crossaster papposus,Common sunstar,Alaska,Gulf of Alaska,Asteroidea (starfishes) ,,
Ctenodiscus crispatus,Mud star,Alaska,Eastern Bering Sea,Asteroidea (starfishes) ,,
Ctenodiscus crispatus,Mud star,Alaska,Gulf of Alaska,Asteroidea (starfishes) ,,
Cucumaria fallax,,Alaska,Aleutian Islands,Holothuroidea (sea cucumbers),,
Cyanea capillata,Lion's mane,Alaska,Gulf of Alaska,"Cnidaria (jellyfish, corals, anenomes) ",,
Cyclopsetta chittendeni,Mexican flounder,Gulf of Mexico,Gulf of Mexico,Pleuronectiformes (Flatfishes) ,,
Cyclopsetta fimbriata,Spotfin flounder,Gulf of Mexico,Gulf of Mexico,Pleuronectiformes (Flatfishes) ,,
Cynoscion arenarius,Sand weakfish,Gulf of Mexico,Gulf of Mexico,"Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers) ",GSMFC,Interstate Fishery Management Plan 
Cynoscion nothus,Silver seatrout,Gulf of Mexico,Gulf of Mexico,"Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers) ",GSMFC,Interstate Fishery Management Plan 
Cynoscion nothus,Silver seatrout,US East Coast,Southeast,"Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers) ",,
Cynoscion regalis,Weakfish,US East Coast,Southeast,"Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers) ",ASMFC,Interstate Fishery Management Plan 
Cynoscion regalis,Weakfish,US East Coast,Southeast,"Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers) ",SAFMC,Snapper-Grouper Fishery of the South Atlantic Region
Dasycottus setiger,Spinyhead sculpin,Alaska,Eastern Bering Sea,Perciformes/Cottoidei (sculpins),NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area
Dasycottus setiger,Spinyhead sculpin,Alaska,Gulf of Alaska,Perciformes/Cottoidei (sculpins),NPFMC,Groundfish of the Gulf of Alaska
Decapterus punctatus,Round scad,Gulf of Mexico,Gulf of Mexico,Carangiformes (Jacks),,
Diplectrum bivittatum,Dwarf sand perch,Gulf of Mexico,Gulf of Mexico,Perciformes/Serranoidei (Groupers),,
Diplectrum formosum,Sand perch,Gulf of Mexico,Gulf of Mexico,Perciformes/Serranoidei (Groupers),,
Diplopteraster multipes,Pincushion star,Alaska,Aleutian Islands,Asteroidea (starfishes) ,,
Dipturus laevis,Barndoor skate,US East Coast,Northeast,"Elasmobranchi:Batoidea (skates, rays) ",NEFMC,Northeast Skate Complex
Doryteuthis opalescens,California market squid,US West Coast,West Coast,"Cephalopoda (squid, octopus)",PFMC,Coastal Pelagic Species
Doryteuthis pealeii,Longfin inshore squid,US East Coast,Northeast,"Cephalopoda (squid, octopus)",MAFMC,"Mackerel, Squid and Butterfish"
Doryteuthis sp,Inshore Squid sp.,Gulf of Mexico,Gulf of Mexico,"Cephalopoda (squid, octopus)",GMFMC,
Doryteuthis sp,Inshore Squid sp.,US East Coast,Southeast,"Cephalopoda (squid, octopus)",SAFMC,
Echidnocerus foraminatus,Brown box crab,US West Coast,West Coast,Decapoda (Crabs/Lobster/Shrimp),,
Elassochirus cavimanus,Purple hermit,Alaska,Aleutian Islands,Decapoda (Crabs/Lobster/Shrimp),,
Elassochirus tenuimanus,Widehand hermit,Alaska,Gulf of Alaska,Decapoda (Crabs/Lobster/Shrimp),,
Eleginus gracilis,Saffron cod,Alaska,Northern Bering Sea,"Gadiformes (Cods, genadiers, pollock) ",,
Enophrys diceraus,Antlered sculpin,Alaska,Northern Bering Sea,Perciformes/Cottoidei (sculpins),,
Enteroctopus dofleini,North pacific giant octopus,Alaska,Aleutian Islands,"Cephalopoda (squid, octopus)",NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area
Eopsetta jordani,Petrale sole,US West Coast,West Coast,Pleuronectiformes (Flatfishes) ,PFMC,Pacific Coast Groundfish
Epinephelus morio,Red grouper,Gulf of Mexico,Gulf of Mexico,Perciformes/Serranoidei (Groupers),GMFMC,Reef Fish Resources of the Gulf of Mexico
Eques lanceolatus,Jackknife-fish,Gulf of Mexico,Gulf of Mexico,"Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers) ",,
Erimacrus isenbeckii,Hair crab,Alaska,Eastern Bering Sea,Decapoda (Crabs/Lobster/Shrimp),,
Erimacrus isenbeckii,Hair crab,Alaska,Northern Bering Sea,Decapoda (Crabs/Lobster/Shrimp),,
Etelis carbunculus,Ehu,Hawaii,Hawaii,"Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers) ",WPFMC,Hawaii Archipelago Ecosystem
Etelis coruscans,Onaga,Hawaii,Hawaii,"Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers) ",WPFMC,Hawaii Archipelago Ecosystem
Etropus crossotus,Fringed flounder,Gulf of Mexico,Gulf of Mexico,Pleuronectiformes (Flatfishes) ,,
Etropus crossotus,Fringed flounder,US East Coast,Southeast,Pleuronectiformes (Flatfishes) ,,
Etropus cyclosquamus,Shelf flounder,US East Coast,Southeast,Pleuronectiformes (Flatfishes) ,,
Eucidaris tribuloides,Slate pencil urchin,Gulf of Mexico,Gulf of Mexico,"Echinoidea (sea urchins, sand dollars) ",,
Eucinostomus gula,Silver jenny,Gulf of Mexico,Gulf of Mexico,"Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers) ",,
Eucinostomus spp.,Mojarras,US East Coast,Southeast,"Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers) ",,
Eumicrotremus orbis,Pacific spiny lumpsucker,Alaska,Aleutian Islands,Perciformes/Cottoidei (sculpins),,
Eunoe depressa,Depressed scale worm,Alaska,Northern Bering Sea,Polychaeta (brittle worms) ,,
Eunoe nodosa,Giant scale worm,Alaska,Eastern Bering Sea,Polychaeta (brittle worms) ,,
Eunoe nodosa,Giant scale worm,Alaska,Northern Bering Sea,Polychaeta (brittle worms) ,,
Euvola marensis,Paper scallop,Gulf of Mexico,Gulf of Mexico,"Bivalvia (clams, muscles, oyster, arks, etc)",,
Evasterias echinosoma,,Alaska,Northern Bering Sea,Asteroidea (starfishes) ,,
Fowlerichthys radiosus,Singlespot frogfish,Gulf of Mexico,Gulf of Mexico,Lophiiformes (Anglerfishes),,
Fusitriton oregonensis,Oregon triton,Alaska,Aleutian Islands,Gastropoda (sea snails and slugs),,
Fusitriton oregonensis,Oregon triton,Alaska,Eastern Bering Sea,Gastropoda (sea snails and slugs),,
Fusitriton oregonensis,Oregon triton,Alaska,Gulf of Alaska,Gastropoda (sea snails and slugs),,
Gadus chalcogrammus,Walleye pollock,Alaska,Aleutian Islands,"Gadiformes (Cods, genadiers, pollock) ",NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area
Gadus chalcogrammus,Walleye pollock,Alaska,Eastern Bering Sea,"Gadiformes (Cods, genadiers, pollock) ",NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area
Gadus chalcogrammus,Walleye pollock,Alaska,Northern Bering Sea,"Gadiformes (Cods, genadiers, pollock) ",,
Gadus chalcogrammus,Walleye pollock,Alaska,Gulf of Alaska,"Gadiformes (Cods, genadiers, pollock) ",NPFMC,Groundfish of the Gulf of Alaska
Gadus chalcogrammus,Walleye pollock,US West Coast,West Coast,"Gadiformes (Cods, genadiers, pollock) ",,
Gadus macrocephalus,Pacific cod,Alaska,Aleutian Islands,"Gadiformes (Cods, genadiers, pollock) ",NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area
Gadus macrocephalus,Pacific cod,Alaska,Eastern Bering Sea,"Gadiformes (Cods, genadiers, pollock) ",NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area
Gadus macrocephalus,Pacific cod,Alaska,Northern Bering Sea,"Gadiformes (Cods, genadiers, pollock) ",,
Gadus macrocephalus,Pacific cod,Alaska,Gulf of Alaska,"Gadiformes (Cods, genadiers, pollock) ",NPFMC,Groundfish of the Gulf of Alaska
Gadus macrocephalus,Pacific cod,US West Coast,West Coast,"Gadiformes (Cods, genadiers, pollock) ",PFMC,Pacific Coast Groundfish
Gadus morhua,Atlantic cod,US East Coast,Northeast,"Gadiformes (Cods, genadiers, pollock) ",NEFMC,Northeast Multispecies
Genyonemus lineatus,White croaker,US West Coast,West Coast,"Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers) ",,
Gibbesia neglecta,Lesser mantis shrimp,US East Coast,Southeast,Decapoda (Crabs/Lobster/Shrimp),,
Glyptocephalus cynoglossus,Witch flounder,US East Coast,Northeast,Pleuronectiformes (Flatfishes) ,NEFMC,Northeast Multispecies
Glyptocephalus zachirus,Rex sole,Alaska,Aleutian Islands,Pleuronectiformes (Flatfishes) ,NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area
Glyptocephalus zachirus,Rex sole,Alaska,Eastern Bering Sea,Pleuronectiformes (Flatfishes) ,NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area
Glyptocephalus zachirus,Rex sole,Alaska,Gulf of Alaska,Pleuronectiformes (Flatfishes) ,NPFMC,Groundfish of the Gulf of Alaska
Glyptocephalus zachirus,Rex sole,US West Coast,West Coast,Pleuronectiformes (Flatfishes) ,PFMC,Pacific Coast Groundfish
Gorgonocephalus eucnemis,Basket star,Alaska,Aleutian Islands,Ophiuroidea (brittle stars),,
Gorgonocephalus eucnemis,Basket star,Alaska,Eastern Bering Sea,Ophiuroidea (brittle stars),,
Gorgonocephalus eucnemis,Basket star,Alaska,Northern Bering Sea,Ophiuroidea (brittle stars),,
Gorgonocephalus eucnemis,Basket star,Alaska,Gulf of Alaska,Ophiuroidea (brittle stars),,
Gorgonocephalus eucnemis,Basket star,US West Coast,West Coast,Ophiuroidea (brittle stars),,
Gymnocanthus galeatus,Armorhead sculpin,Alaska,Aleutian Islands,Perciformes/Cottoidei (sculpins),NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area
Gymnocanthus pistilliger,Threaded sculpin,Alaska,Northern Bering Sea,Perciformes/Cottoidei (sculpins),,
Gymnothorax saxicola,Honeycomb moray,Gulf of Mexico,Gulf of Mexico,Anguilliformes (Eels and morays),,
Gymnura micrura,Smooth butterfly ray,US East Coast,Southeast,"Elasmobranchi:Batoidea (skates, rays) ",,
Haemulon aurolineatum,Tomtate grunt,Gulf of Mexico,Gulf of Mexico,"Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers) ",,
Haemulon plumierii,White grunt,Gulf of Mexico,Gulf of Mexico,"Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers) ",,
Halieutichthys sp,Batfished,Gulf of Mexico,Gulf of Mexico,Lophiiformes (Anglerfishes),,
Halocynthia aurantium,Sea peach,Alaska,Aleutian Islands,"Tunicata (sea squirts, tunicates, salps) ",,
Harengula jaguana,Scaled sardine,Gulf of Mexico,Gulf of Mexico,"Clupeiformes (Herrings, anchovy, shad)",,
Harengula jaguana,Scaled sardine,US East Coast,Southeast,"Clupeiformes (Herrings, anchovy, shad)",,
Hemilepidotus jordani,Yellow irish lord,Alaska,Aleutian Islands,Perciformes/Cottoidei (sculpins),NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area
Hemilepidotus jordani,Yellow irish lord,Alaska,Eastern Bering Sea,Perciformes/Cottoidei (sculpins),NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area
Hemilepidotus jordani,Yellow irish lord,Alaska,Gulf of Alaska,Perciformes/Cottoidei (sculpins),,
Hemilepidotus papilio,Butterfly sculpin,Alaska,Eastern Bering Sea,Perciformes/Cottoidei (sculpins),,
