"","spp","common","FilterSubRegion","Taxonomic.Grouping","FilterRegion","Management.Body","Management.Plan","DistributionProjectName"
"348","Podothecus veternus","Veteran poacher","Northern Bering Sea",NA,NA,NA,NA,"Not for IDW"
"349","Polychaeta tubes",NA,"Northern Bering Sea",NA,NA,NA,NA,"Not for IDW"
"350","Psolus fabricii","Scarlet psolus","Northern Bering Sea",NA,NA,NA,NA,"Not for IDW"
"351","Pteraster obscurus","Obscure cushion star","Northern Bering Sea",NA,NA,NA,NA,"Not for IDW"
"352","Sclerocrangon boreas","Sculptured shrimp","Northern Bering Sea","Decapoda (Crabs/Lobster/Shrimp)","Alaska","","","NMFS/Rutgers IDW Interpolation"
"353","Serripes notabilis","Oblique smoothcockle","Northern Bering Sea","Bivalvia (clams, muscles, oyster, arks, etc)","Alaska","","","NMFS/Rutgers IDW Interpolation"
"354","Strongylocentrotus droebachiensis","Green sea urchin","Northern Bering Sea","Echinoidea (sea urchins, sand dollars) ","Alaska","","","NMFS/Rutgers IDW Interpolation"
"355","Styela rustica","Sea potato","Northern Bering Sea","Tunicata (sea squirts, tunicates, salps) ","Alaska","","","NMFS/Rutgers IDW Interpolation"
"356","Telmessus cheiragonus","Helmet crab","Northern Bering Sea","Decapoda (Crabs/Lobster/Shrimp)","Alaska","","","NMFS/Rutgers IDW Interpolation"
"357","Triglops pingelii","Ribbed sculpin","Northern Bering Sea","Perciformes/Cottoidei (sculpins)","Alaska","","","NMFS/Rutgers IDW Interpolation"
"358","Tritonia festiva","Diamondback tritonia","Northern Bering Sea",NA,NA,NA,NA,"Not for IDW"
"359","Acanthostracion quadricornis","Scrawled cowfish","Gulf of Mexico","Tetraodontiformes (puffers and filefishes)","Gulf of Mexico","","","NMFS/Rutgers IDW Interpolation"
"360","Achelous gibbesii","Iridescent swimming crab","Gulf of Mexico","Decapoda (Crabs/Lobster/Shrimp)","Gulf of Mexico","","","NMFS/Rutgers IDW Interpolation"
"361","Achelous ordwayi","Silvery-clawed swimming crab","Gulf of Mexico",NA,NA,NA,NA,"Not for IDW"
"362","Achelous spinicarpus","Longspine swimming crab","Gulf of Mexico","Decapoda (Crabs/Lobster/Shrimp)","Gulf of Mexico","","","NMFS/Rutgers IDW Interpolation"
"363","Achelous spinimanus","Blotched swimming crab","Gulf of Mexico","Decapoda (Crabs/Lobster/Shrimp)","Gulf of Mexico","","","NMFS/Rutgers IDW Interpolation"
"364","Aluterus heudelotii","Dotterel filefish","Gulf of Mexico",NA,NA,NA,NA,"Not for IDW"
"365","Aluterus schoepfii","Orange filefish","Gulf of Mexico","Tetraodontiformes (puffers and filefishes)","Gulf of Mexico","","","NMFS/Rutgers IDW Interpolation"
"366","Anadara secernenda","Skewed ark","Gulf of Mexico",NA,NA,NA,NA,"Not for IDW"
"367","Anasimus latus","Stilt spider crab","Gulf of Mexico","Decapoda (Crabs/Lobster/Shrimp)","Gulf of Mexico","","","NMFS/Rutgers IDW Interpolation"
"368","Anchoa hepsetus","Striped anchovy","Gulf of Mexico","Clupeiformes (Herrings, anchovy, shad)","Gulf of Mexico","","","NMFS/Rutgers IDW Interpolation"
"369","Anchoa mitchilli","Bay anchovy","Gulf of Mexico",NA,NA,NA,NA,"Not for IDW"
"370","Ancylopsetta dilecta","Three-eye flounder","Gulf of Mexico",NA,NA,NA,NA,"Not for IDW"
"371","Ancylopsetta quadrocellata","Ocellated flounder","Gulf of Mexico","Pleuronectiformes (Flatfishes) ","Gulf of Mexico","","","NMFS/Rutgers IDW Interpolation"
"372","Apogon pseudomaculatus","Twospot cardinalfish","Gulf of Mexico",NA,NA,NA,NA,"Not for IDW"
"373","Apogon quadrisquamatus","Sawcheek cardinalfish","Gulf of Mexico",NA,NA,NA,NA,"Not for IDW"
"374","Arbacia punctulata","Purple-spined sea urchin","Gulf of Mexico",NA,NA,NA,NA,"Not for IDW"
"375","Argopecten gibbus","Calico scallop","Gulf of Mexico",NA,NA,NA,NA,"Not for IDW"
"376","Ariopsis felis","Hardhead catfish","Gulf of Mexico",NA,NA,NA,NA,"Not for IDW"
"377","Balistes capriscus","Gray triggerfish","Gulf of Mexico","Tetraodontiformes (puffers and filefishes)","Gulf of Mexico","GMFMC","Reef Fish Resources of the Gulf of Mexico","NMFS/Rutgers IDW Interpolation"
"378","Bellator militaris","Horned searobin","Gulf of Mexico","Perciformes/Scorpaenoidei (Scorpionfishes)","Gulf of Mexico","","","NMFS/Rutgers IDW Interpolation"
"379","Bollmannia communis","Ragged goby","Gulf of Mexico",NA,NA,NA,NA,"Not for IDW"
"380","Bothus robinsi","Twospot flounder","Gulf of Mexico","Pleuronectiformes (Flatfishes) ","Gulf of Mexico","","","NMFS/Rutgers IDW Interpolation"
"381","Brevoortia patronus","Gulf menhaden","Gulf of Mexico",NA,NA,NA,NA,"Not for IDW"
"382","Brotula barbata","Bearded brotula","Gulf of Mexico",NA,NA,NA,NA,"Not for IDW"
"383","Calamus arctifrons","Grass porgy","Gulf of Mexico",NA,NA,NA,NA,"Not for IDW"
"384","Calamus nodosus","Knobbed porgy","Gulf of Mexico",NA,NA,NA,NA,"Not for IDW"
"385","Calamus proridens","Littlehead porgy","Gulf of Mexico","Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers) ","Gulf of Mexico","","","NMFS/Rutgers IDW Interpolation"
"386","Calappa flammea","Flame box crab","Gulf of Mexico",NA,NA,NA,NA,"Not for IDW"
"387","Calappa sulcata","Yellow box crab","Gulf of Mexico","Decapoda (Crabs/Lobster/Shrimp)","Gulf of Mexico","","","NMFS/Rutgers IDW Interpolation"
"388","Callinectes sapidus","Blue crab","Gulf of Mexico","Decapoda (Crabs/Lobster/Shrimp)","Gulf of Mexico","GSMFC","Interstate Fishery Management Plan ","NMFS/Rutgers IDW Interpolation"
"389","Callinectes similis","Lesser blue crab","Gulf of Mexico","Decapoda (Crabs/Lobster/Shrimp)","Gulf of Mexico","","","NMFS/Rutgers IDW Interpolation"
"390","Centropristis ocyurus","Bank sea bass","Gulf of Mexico","Perciformes/Serranoidei (Groupers)","Gulf of Mexico","","","NMFS/Rutgers IDW Interpolation"
"391","Centropristis philadelphica","Rock sea bass","Gulf of Mexico","Perciformes/Serranoidei (Groupers)","Gulf of Mexico","","","NMFS/Rutgers IDW Interpolation"
"392","Chaetodipterus faber","Atlantic spadefish","Gulf of Mexico",NA,NA,NA,NA,"Not for IDW"
"393","Chaetodon ocellatus","Spotfin butterflyfish","Gulf of Mexico","Acanthuriformes (Surgeonfishes)","Gulf of Mexico","","","NMFS/Rutgers IDW Interpolation"
"394","Chaetodon sedentarius","Reef butterflyfish","Gulf of Mexico",NA,NA,NA,NA,"Not for IDW"
"395","Chilomycterus schoepfii","Striped burrfish","Gulf of Mexico","Tetraodontiformes (puffers and filefishes)","Gulf of Mexico","","","NMFS/Rutgers IDW Interpolation"
"396","Chloroscombrus chrysurus","Atlantic bumper","Gulf of Mexico","Carangiformes (Jacks)","Gulf of Mexico","","","NMFS/Rutgers IDW Interpolation"
"397","Chrysaora quinquecirrha","Sea nettle","Gulf of Mexico",NA,NA,NA,NA,"Not for IDW"
"398","Citharichthys macrops","Spotted whiff","Gulf of Mexico","Pleuronectiformes (Flatfishes) ","Gulf of Mexico","","","NMFS/Rutgers IDW Interpolation"
"399","Citharichthys spilopterus","Bay whiff","Gulf of Mexico","Pleuronectiformes (Flatfishes) ","Gulf of Mexico","","","NMFS/Rutgers IDW Interpolation"
"400","Coryrhynchus sidneyi","Shortfinger neck crab","Gulf of Mexico",NA,NA,NA,NA,"Not for IDW"
"401","Cyclopsetta chittendeni","Mexican flounder","Gulf of Mexico","Pleuronectiformes (Flatfishes) ","Gulf of Mexico","","","NMFS/Rutgers IDW Interpolation"
"402","Cyclopsetta fimbriata","Spotfin flounder","Gulf of Mexico","Pleuronectiformes (Flatfishes) ","Gulf of Mexico","","","NMFS/Rutgers IDW Interpolation"
"403","Cynoscion arenarius","Sand weakfish","Gulf of Mexico","Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers) ","Gulf of Mexico","GSMFC","Interstate Fishery Management Plan ","NMFS/Rutgers IDW Interpolation"
"404","Cynoscion nothus","Silver seatrout","Gulf of Mexico","Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers) ","Gulf of Mexico","GSMFC","Interstate Fishery Management Plan ","NMFS/Rutgers IDW Interpolation"
"405","Decapterus punctatus","Round scad","Gulf of Mexico","Carangiformes (Jacks)","Gulf of Mexico","","","NMFS/Rutgers IDW Interpolation"
"406","Diplectrum bivittatum","Dwarf sand perch","Gulf of Mexico","Perciformes/Serranoidei (Groupers)","Gulf of Mexico","","","NMFS/Rutgers IDW Interpolation"
"407","Diplectrum formosum","Sand perch","Gulf of Mexico","Perciformes/Serranoidei (Groupers)","Gulf of Mexico","","","NMFS/Rutgers IDW Interpolation"
"408","Doryteuthis sp","Inshore Squid sp.","Gulf of Mexico","Cephalopoda (squid, octopus)","Gulf of Mexico","GMFMC","","NMFS/Rutgers IDW Interpolation"
"409","Echiophis intertinctus","Spotted spoon-nose eel","Gulf of Mexico",NA,NA,NA,NA,"Not for IDW"
"410","Encope aberrans",NA,"Gulf of Mexico",NA,NA,NA,NA,"Not for IDW"
"411","Engyophrys senta","Spiny flounder","Gulf of Mexico",NA,NA,NA,NA,"Not for IDW"
"412","Epinephelus morio","Red grouper","Gulf of Mexico","Perciformes/Serranoidei (Groupers)","Gulf of Mexico","GMFMC","Reef Fish Resources of the Gulf of Mexico","NMFS/Rutgers IDW Interpolation"
"413","Eques lanceolatus","Jackknife-fish","Gulf of Mexico","Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers) ","Gulf of Mexico","","","NMFS/Rutgers IDW Interpolation"
"414","Etropus crossotus","Fringed flounder","Gulf of Mexico","Pleuronectiformes (Flatfishes) ","Gulf of Mexico","","","NMFS/Rutgers IDW Interpolation"
"415","Etropus rimosus","Gray flounder","Gulf of Mexico",NA,NA,NA,NA,"Not for IDW"
"416","Eucidaris tribuloides","Slate pencil urchin","Gulf of Mexico","Echinoidea (sea urchins, sand dollars) ","Gulf of Mexico","","","NMFS/Rutgers IDW Interpolation"
"417","Eucinostomus gula","Silver jenny","Gulf of Mexico","Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers) ","Gulf of Mexico","","","NMFS/Rutgers IDW Interpolation"
"418","Eucinostomus harengulus","Tidewater mojarra","Gulf of Mexico",NA,NA,NA,NA,"Not for IDW"
"419","Euvola marensis","Paper scallop","Gulf of Mexico","Bivalvia (clams, muscles, oyster, arks, etc)","Gulf of Mexico","","","NMFS/Rutgers IDW Interpolation"
"420","Euvola raveneli","Round rib scallop","Gulf of Mexico",NA,NA,NA,NA,"Not for IDW"
"421","Fowlerichthys radiosus","Singlespot frogfish","Gulf of Mexico","Lophiiformes (Anglerfishes)","Gulf of Mexico","","","NMFS/Rutgers IDW Interpolation"
"422","Gastropsetta frontalis","Shrimp flounder","Gulf of Mexico",NA,NA,NA,NA,"Not for IDW"
"423","Gymnothorax saxicola","Honeycomb moray","Gulf of Mexico","Anguilliformes (Eels and morays)","Gulf of Mexico","","","NMFS/Rutgers IDW Interpolation"
"424","Haemulon aurolineatum","Tomtate grunt","Gulf of Mexico","Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers) ","Gulf of Mexico","","","NMFS/Rutgers IDW Interpolation"
"425","Haemulon plumierii","White grunt","Gulf of Mexico","Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers) ","Gulf of Mexico","","","NMFS/Rutgers IDW Interpolation"
"426","Halieutichthys sp","Batfishes","Gulf of Mexico",NA,NA,NA,NA,"Not for IDW"
"427","Harengula jaguana","Scaled sardine","Gulf of Mexico","Clupeiformes (Herrings, anchovy, shad)","Gulf of Mexico","","","NMFS/Rutgers IDW Interpolation"
"428","Hepatus epheliticus","Calico box crab","Gulf of Mexico",NA,NA,NA,NA,"Not for IDW"
"429","Hippocampus erectus","Lined seahorse","Gulf of Mexico","Syngnathiformes (Seahorses)","Gulf of Mexico","","","NMFS/Rutgers IDW Interpolation"
"430","Holacanthus bermudensis","Blue angelfish","Gulf of Mexico",NA,NA,NA,NA,"Not for IDW"
"431","Iliacantha liodactylus",NA,"Gulf of Mexico",NA,NA,NA,NA,"Not for IDW"
"432","Kathetostoma albigutta","Lancer stargazer","Gulf of Mexico","Perciformes/Uranoscopoidei (Sand dwellers)","Gulf of Mexico","","","NMFS/Rutgers IDW Interpolation"
"433","Laevicardium mortoni","Yellow eggcockle","Gulf of Mexico",NA,NA,NA,NA,"Not for IDW"
"434","Lagocephalus laevigatus","Smooth puffer","Gulf of Mexico","Tetraodontiformes (puffers and filefishes)","Gulf of Mexico","","","NMFS/Rutgers IDW Interpolation"
"435","Lagodon rhomboides","Pinfish","Gulf of Mexico","Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers) ","Gulf of Mexico","","","NMFS/Rutgers IDW Interpolation"
"436","Larimus fasciatus","Banded drum","Gulf of Mexico","Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers) ","Gulf of Mexico","","","NMFS/Rutgers IDW Interpolation"
"437","Leiolambrus nitidus","White elbow crab","Gulf of Mexico","Decapoda (Crabs/Lobster/Shrimp)","Gulf of Mexico","","","NMFS/Rutgers IDW Interpolation"
"438","Leiostomus xanthurus","Spot","Gulf of Mexico","Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers) ","Gulf of Mexico","","","NMFS/Rutgers IDW Interpolation"
"439","Lepophidium brevibarbe","Blackedge cusk-eel","Gulf of Mexico","Ophidiiformes (Cusk eels) ","Gulf of Mexico","","","NMFS/Rutgers IDW Interpolation"
"440","Lepophidium jeannae","Mottled cusk-eel","Gulf of Mexico","Ophidiiformes (Cusk eels) ","Gulf of Mexico","","","NMFS/Rutgers IDW Interpolation"
"441","Lolliguncula brevis","Atlantic brief squid","Gulf of Mexico","Cephalopoda (squid, octopus)","Gulf of Mexico","","","NMFS/Rutgers IDW Interpolation"
"442","Luidia alternata","Banded sea star","Gulf of Mexico",NA,NA,NA,NA,"Not for IDW"
"443","Luidia clathrata","Lined sea star","Gulf of Mexico","Asteroidea (starfishes) ","Gulf of Mexico","","","NMFS/Rutgers IDW Interpolation"
"444","Luidia lawrencei",NA,"Gulf of Mexico",NA,NA,NA,NA,"Not for IDW"
"445","Lutjanus campechanus","Red snapper","Gulf of Mexico","Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers) ","Gulf of Mexico","GMFMC","Reef Fish Resources of the Gulf of Mexico","NMFS/Rutgers IDW Interpolation"
"446","Lutjanus griseus","Gray snapper","Gulf of Mexico","Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers) ","Gulf of Mexico","GMFMC","Reef Fish Resources of the Gulf of Mexico","NMFS/Rutgers IDW Interpolation"
"447","Lutjanus synagris","Lane snapper","Gulf of Mexico","Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers) ","Gulf of Mexico","GMFMC","Reef Fish Resources of the Gulf of Mexico","NMFS/Rutgers IDW Interpolation"
"448","Lytechinus variegatus","Variegated sea urchin","Gulf of Mexico",NA,NA,NA,NA,"Not for IDW"
"449","Lytechinus variegatus carolinus",NA,"Gulf of Mexico",NA,NA,NA,NA,"Not for IDW"
"450","Menticirrhus americanus","Southern kingfish","Gulf of Mexico",NA,NA,NA,NA,"Not for IDW"
"451","Metapenaeopsis goodei","Caribbean velvet shrimp","Gulf of Mexico","Decapoda (Crabs/Lobster/Shrimp)","Gulf of Mexico","","","NMFS/Rutgers IDW Interpolation"
"452","Micropogonias undulatus","Atlantic croaker","Gulf of Mexico","Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers) ","Gulf of Mexico","","","NMFS/Rutgers IDW Interpolation"
"453","Mithrax pleuracanthus","Shaggy clinging crab","Gulf of Mexico",NA,NA,NA,NA,"Not for IDW"
"454","Monacanthus ciliatus","Fringed filefish","Gulf of Mexico","Tetraodontiformes (puffers and filefishes)","Gulf of Mexico","","","NMFS/Rutgers IDW Interpolation"
"455","Moreiradromia antillensis","Hairy sponge crab","Gulf of Mexico","Decapoda (Crabs/Lobster/Shrimp)","Gulf of Mexico","","","NMFS/Rutgers IDW Interpolation"
"456","Mullus auratus","Red goatfish","Gulf of Mexico","Mulliformes (Goatfishes)","Gulf of Mexico","","","NMFS/Rutgers IDW Interpolation"
"457","Mustelus sp",NA,"Gulf of Mexico",NA,NA,NA,NA,"Not for IDW"
"458","Nicholsina usta","Emerald parrotfish","Gulf of Mexico","Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers) ","Gulf of Mexico","","","NMFS/Rutgers IDW Interpolation"
"459","Octopus joubini","Atlantic pygmy octopus","Gulf of Mexico",NA,NA,NA,NA,"Not for IDW"
"460","Octopus vulgaris","Common octopus","Gulf of Mexico",NA,NA,NA,NA,"Not for IDW"
"461","Ogcocephalus corniger","Longnose batfish","Gulf of Mexico",NA,NA,NA,NA,"Not for IDW"
"462","Ogcocephalus cubifrons",NA,"Gulf of Mexico",NA,NA,NA,NA,"Not for IDW"
"463","Ogcocephalus declivirostris","Slantbrow batfish","Gulf of Mexico","Lophiiformes (Anglerfishes)","Gulf of Mexico","","","NMFS/Rutgers IDW Interpolation"
"464","Ogcocephalus pantostictus","Spotted batfish","Gulf of Mexico",NA,NA,NA,NA,"Not for IDW"
"465","Ogcocephalus parvus","Roughback batfish","Gulf of Mexico","Lophiiformes (Anglerfishes)","Gulf of Mexico","","","NMFS/Rutgers IDW Interpolation"
"466","Ogcocephalus radiatus","Polka-dot batfish","Gulf of Mexico",NA,NA,NA,NA,"Not for IDW"
"467","Ophidion holbrookii","Bank cusk-eel","Gulf of Mexico","Ophidiiformes (Cusk eels) ","Gulf of Mexico","","","NMFS/Rutgers IDW Interpolation"
"468","Ophiolepis elegans","Elegant brittle star","Gulf of Mexico","Ophiuroidea (brittle stars)","Gulf of Mexico","","","NMFS/Rutgers IDW Interpolation"
"469","Ophiothrix (Ophiothrix) angulata","Angular brittle star","Gulf of Mexico",NA,NA,NA,NA,"Not for IDW"
"470","Opisthonema oglinum","Atlantic thread herring","Gulf of Mexico","Clupeiformes (Herrings, anchovy, shad)","Gulf of Mexico","","","NMFS/Rutgers IDW Interpolation"
"471","Orthopristis chrysoptera","Pigfish","Gulf of Mexico","Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers) ","Gulf of Mexico","","","NMFS/Rutgers IDW Interpolation"
"472","Ovalipes floridanus","Florida lady crab","Gulf of Mexico",NA,NA,NA,NA,"Not for IDW"
"473","Pagrus pagrus","Red porgy","Gulf of Mexico",NA,NA,NA,NA,"Not for IDW"
"474","Paguristes sericeus","Blue-eyed hermit","Gulf of Mexico",NA,NA,NA,NA,"Not for IDW"
"475","Paralichthys albigutta","Gulf flounder","Gulf of Mexico",NA,NA,NA,NA,"Not for IDW"
"476","Paralichthys lethostigma","Southern flounder","Gulf of Mexico",NA,NA,NA,NA,"Not for IDW"
"477","Parapenaeus politus","Rose shrimp","Gulf of Mexico",NA,NA,NA,NA,"Not for IDW"
"478","Pareques umbrosus","Cubbyu","Gulf of Mexico","Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers) ","Gulf of Mexico","","","NMFS/Rutgers IDW Interpolation"
"479","Penaeus aztecus","Brown shrimp","Gulf of Mexico","Decapoda (Crabs/Lobster/Shrimp)","Gulf of Mexico","GMFMC","Shrimp Fishery of the Gulf of Mexico","NMFS/Rutgers IDW Interpolation"
"480","Penaeus aztecus","Brown shrimp","Gulf of Mexico","Decapoda (Crabs/Lobster/Shrimp)","Gulf of Mexico","GSMFC","Interstate Fishery Management Plan ","NMFS/Rutgers IDW Interpolation"
"481","Penaeus duorarum","Pink shrimp","Gulf of Mexico","Decapoda (Crabs/Lobster/Shrimp)","Gulf of Mexico","GMFMC","Shrimp Fishery of the Gulf of Mexico","NMFS/Rutgers IDW Interpolation"
"482","Penaeus duorarum","Pink shrimp","Gulf of Mexico","Decapoda (Crabs/Lobster/Shrimp)","Gulf of Mexico","GSMFC","Interstate Fishery Management Plan ","NMFS/Rutgers IDW Interpolation"
"483","Penaeus setiferus","Northern white shrimp","Gulf of Mexico","Decapoda (Crabs/Lobster/Shrimp)","Gulf of Mexico","GMFMC","Shrimp Fishery of the Gulf of Mexico","NMFS/Rutgers IDW Interpolation"
"484","Penaeus setiferus","Northern white shrimp","Gulf of Mexico","Decapoda (Crabs/Lobster/Shrimp)","Gulf of Mexico","GSMFC","Interstate Fishery Management Plan ","NMFS/Rutgers IDW Interpolation"
"485","Peprilus burti","Gulf butterfish","Gulf of Mexico","Scombriformes (Mackerels)","Gulf of Mexico","","","NMFS/Rutgers IDW Interpolation"
"486","Peprilus paru","Harvestfish","Gulf of Mexico",NA,NA,NA,NA,"Not for IDW"
"487","Pitarenus cordatus","Corded pitar","Gulf of Mexico","Bivalvia (clams, muscles, oyster, arks, etc)","Gulf of Mexico","","","NMFS/Rutgers IDW Interpolation"
"488","Platylambrus granulatus","Bladetooth elbow crab","Gulf of Mexico","Decapoda (Crabs/Lobster/Shrimp)","Gulf of Mexico","","","NMFS/Rutgers IDW Interpolation"
"489","Polydactylus octonemus","Atlantic threadfin","Gulf of Mexico",NA,NA,NA,NA,"Not for IDW"
"490","Polystira albida","White giant-turris","Gulf of Mexico",NA,NA,NA,NA,"Not for IDW"
"491","Porichthys plectrodon","Atlantic midshipman","Gulf of Mexico","Batrachoidiformes (Toadfishes)","Gulf of Mexico","","","NMFS/Rutgers IDW Interpolation"
"492","Priacanthus arenatus","Atlantic bigeye","Gulf of Mexico",NA,NA,NA,NA,"Not for IDW"
"493","Prionotus alatus","Spiny searobin","Gulf of Mexico","Perciformes/Scorpaenoidei (Scorpionfishes)","Gulf of Mexico","","","NMFS/Rutgers IDW Interpolation"
"494","Prionotus longispinosus","Bigeye searobin","Gulf of Mexico","Perciformes/Scorpaenoidei (Scorpionfishes)","Gulf of Mexico","","","NMFS/Rutgers IDW Interpolation"
"495","Prionotus martis","Gulf of mexico barred searobin","Gulf of Mexico",NA,NA,NA,NA,"Not for IDW"
"496","Prionotus ophryas","Bandtail searobin","Gulf of Mexico","Perciformes/Scorpaenoidei (Scorpionfishes)","Gulf of Mexico","","","NMFS/Rutgers IDW Interpolation"
"497","Prionotus paralatus","Mexican searobin","Gulf of Mexico","Perciformes/Scorpaenoidei (Scorpionfishes)","Gulf of Mexico","","","NMFS/Rutgers IDW Interpolation"
"498","Prionotus roseus","Bluespotted searobin","Gulf of Mexico","Perciformes/Scorpaenoidei (Scorpionfishes)","Gulf of Mexico","","","NMFS/Rutgers IDW Interpolation"
"499","Prionotus rubio","Blackwing searobin","Gulf of Mexico","Perciformes/Scorpaenoidei (Scorpionfishes)","Gulf of Mexico","","","NMFS/Rutgers IDW Interpolation"
"500","Prionotus scitulus","Leopard searobin","Gulf of Mexico",NA,NA,NA,NA,"Not for IDW"
"501","Prionotus stearnsi","Shortwing searobin","Gulf of Mexico","Perciformes/Scorpaenoidei (Scorpionfishes)","Gulf of Mexico","","","NMFS/Rutgers IDW Interpolation"
"502","Prionotus tribulus","Bighead searobin","Gulf of Mexico",NA,NA,NA,NA,"Not for IDW"
"503","Pristipomoides aquilonaris","Wenchman","Gulf of Mexico","Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers) ","Gulf of Mexico","","","NMFS/Rutgers IDW Interpolation"
"504","Pseudorhombila quadridentata","Flecked squareback crab","Gulf of Mexico",NA,NA,NA,NA,"Not for IDW"
"505","Raninoides louisianensis","Gulf frog crab","Gulf of Mexico","Decapoda (Crabs/Lobster/Shrimp)","Gulf of Mexico","","","NMFS/Rutgers IDW Interpolation"
"506","Renilla muelleri","Mueller's sea pansy","Gulf of Mexico","Cnidaria (jellyfish, corals, anenomes) ","Gulf of Mexico","","","NMFS/Rutgers IDW Interpolation"
"507","Rhizoprionodon terraenovae","Atlantic sharpnose shark","Gulf of Mexico","Elasmobranchi:Selachi (sharks)","Gulf of Mexico","","","NMFS/Rutgers IDW Interpolation"
"508","Rhomboplites aurorubens","Vermilion snapper","Gulf of Mexico","Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers) ","Gulf of Mexico","GMFMC","Reef Fish Resources of the Gulf of Mexico","NMFS/Rutgers IDW Interpolation"
"509","Rhynchoconger flavus","Yellow conger","Gulf of Mexico",NA,NA,NA,NA,"Not for IDW"
"510","Rostroraja eglanteria","Clearnose skate","Gulf of Mexico","Elasmobranchi:Batoidea (skates, rays) ","Gulf of Mexico","","","NMFS/Rutgers IDW Interpolation"
"511","Rostroraja texana","Roundel skate","Gulf of Mexico","Elasmobranchi:Batoidea (skates, rays) ","Gulf of Mexico","","","NMFS/Rutgers IDW Interpolation"
"512","Sardinella aurita","Spanish sardine","Gulf of Mexico","Clupeiformes (Herrings, anchovy, shad)","Gulf of Mexico","","","NMFS/Rutgers IDW Interpolation"
"513","Saurida brasiliensis","Largescale lizardfish","Gulf of Mexico","Aulopiformes (Grinners, lizardfish)","Gulf of Mexico","","","NMFS/Rutgers IDW Interpolation"
"514","Saurida normani","Shortjaw lizardfish","Gulf of Mexico","Aulopiformes (Grinners, lizardfish)","Gulf of Mexico","","","NMFS/Rutgers IDW Interpolation"
"515","Scomberomorus maculatus","Spanish mackerel","Gulf of Mexico",NA,NA,NA,NA,"Not for IDW"
"516","Scorpaena agassizii","Longfin scorpionfish","Gulf of Mexico","Perciformes/Scorpaenoidei (Scorpionfishes)","Gulf of Mexico","","","NMFS/Rutgers IDW Interpolation"
"517","Scorpaena brasiliensis","Barbfish","Gulf of Mexico","Perciformes/Scorpaenoidei (Scorpionfishes)","Gulf of Mexico","","","NMFS/Rutgers IDW Interpolation"
"518","Scorpaena calcarata","Smoothhead scorpionfish","Gulf of Mexico","Perciformes/Scorpaenoidei (Scorpionfishes)","Gulf of Mexico","","","NMFS/Rutgers IDW Interpolation"
"519","Scyllarides nodifer","Ridged slipper lobster","Gulf of Mexico","Decapoda (Crabs/Lobster/Shrimp)","Gulf of Mexico","","","NMFS/Rutgers IDW Interpolation"
"520","Scyllarus chacei","Chace slipper lobster","Gulf of Mexico","Decapoda (Crabs/Lobster/Shrimp)","Gulf of Mexico","","","NMFS/Rutgers IDW Interpolation"
"521","Selene setapinnis","Atlantic moonfish","Gulf of Mexico","Carangiformes (Jacks)","Gulf of Mexico","","","NMFS/Rutgers IDW Interpolation"
"522","Serranus atrobranchus","Blackear bass","Gulf of Mexico","Perciformes/Serranoidei (Groupers)","Gulf of Mexico","","","NMFS/Rutgers IDW Interpolation"
"523","Serranus notospilus","Saddle bass","Gulf of Mexico","Perciformes/Serranoidei (Groupers)","Gulf of Mexico","","","NMFS/Rutgers IDW Interpolation"
"524","Serranus phoebe","Tattler","Gulf of Mexico","Perciformes/Serranoidei (Groupers)","Gulf of Mexico","","","NMFS/Rutgers IDW Interpolation"
"525","Sicyonia brevirostris","Brown rock shrimp","Gulf of Mexico","Decapoda (Crabs/Lobster/Shrimp)","Gulf of Mexico","GMFMC","Shrimp Fishery of the Gulf of Mexico","NMFS/Rutgers IDW Interpolation"
"526","Sicyonia dorsalis","Lesser rock shrimp","Gulf of Mexico","Decapoda (Crabs/Lobster/Shrimp)","Gulf of Mexico","GMFMC","Shrimp Fishery of the Gulf of Mexico","NMFS/Rutgers IDW Interpolation"
"527","Solenocera atlantidis","Dwarf humpback shrimp","Gulf of Mexico","Decapoda (Crabs/Lobster/Shrimp)","Gulf of Mexico","","","NMFS/Rutgers IDW Interpolation"
"528","Solenocera vioscai","Humpback shrimp","Gulf of Mexico","Decapoda (Crabs/Lobster/Shrimp)","Gulf of Mexico","","","NMFS/Rutgers IDW Interpolation"
