region,spp,common,remove
Southeast US Spring,Caretta caretta,Loggerhead sea turtle,TRUE
Southeast US Summer,Caretta caretta,Loggerhead sea turtle,TRUE
West Coast Annual,Actiniaria spp.,Anemones,TRUE
West Coast Annual,Annelida,NA,TRUE
West Coast Annual,Aphrodita,Na,TRUE
West Coast Annual,Asterozoa spp.,Sea stars,TRUE
West Coast Annual,Aurelia,Na,TRUE
West Coast Annual,Benthoctopus,Na,TRUE
West Coast Annual,Brachiopoda spp.,Brachiopods,TRUE
West Coast Annual,Brisaster,Na,TRUE
West Coast Annual,Ceramaster,Na,TRUE
West Coast Annual,Chrysaora,Na,TRUE
West Coast Annual,Corallimorphus,,TRUE
West Coast Annual,Crangon,Na,TRUE
West Coast Annual,Florometra,Na,TRUE
West Coast Annual,Gastropoda spp.,Gastropods,TRUE
West Coast Annual,Gorgonacea spp.,Soft corals,TRUE
West Coast Annual,Halipteris,Na,TRUE
West Coast Annual,Henricia,Na,TRUE
West Coast Annual,Hexactinosida spp.,Sponge,TRUE
West Coast Annual,Hormathiidae spp.,Sea anemone,TRUE
West Coast Annual,Invertebrata spp.,Invertebrate,TRUE
West Coast Annual,Isopoda spp.,"Pill bugs, wood lice and sea slaters",TRUE
West Coast Annual,Macrouridae,,TRUE
West Coast Annual,Mediaster,Na,TRUE
West Coast Annual,Myctophidae spp.,Lanternfishes,TRUE
West Coast Annual,Myxinidae spp.,Hagfishes,TRUE
West Coast Annual,Neptunea,Na,TRUE
West Coast Annual,Nudibranchia spp.,Nudibranchs,TRUE
West Coast Annual,Ophiopholis,Na,TRUE
West Coast Annual,Ophiurida,,TRUE
West Coast Annual,Paguridae spp.,Right-handed hermit crabs,TRUE
West Coast Annual,Pennatulacea spp.,Sea panzies,TRUE
West Coast Annual,Porifera spp.,Sponges,TRUE
West Coast Annual,Pseudarchaster,Na,TRUE
West Coast Annual,Pteraster,Na,TRUE
West Coast Annual,Red striated,,TRUE
West Coast Annual,Rossellinae spp.,Sea spunge,TRUE
West Coast Annual,Scyphozoa spp.,Jellyfishes,TRUE
West Coast Annual,Sebastes spp.,Rockfishes,TRUE
West Coast Annual,Sipuncula spp.,Peanut worms,TRUE
West Coast Annual,Solaster,Na,TRUE
West Coast Annual,Stomphia,Na,TRUE
West Coast Annual,Strongylocentrotus,Na,TRUE
West Coast Annual,Terebratellacea spp.,Brachiopod,TRUE
West Coast Annual,Thaliacea spp.,Pelagic tunicates,TRUE
West Coast Annual,Tunicata spp.,Tunicates,TRUE
West Coast Annual,Unsorted shab,Na,TRUE
West Coast Annual,Urticina,Na,TRUE
West Coast Annual,Brisingella,Na,TRUE
West Coast Annual,Calocarides,Na,TRUE
West Coast Annual,Munidopsis,squat lobsters,TRUE
West Coast Annual,Platytroctidae,Tubeshoulders,TRUE
West Coast Annual,Scotoplanes,Sea pigs,TRUE
West Coast Annual,Suberites,Sponge spp. ,TRUE
West Coast Annual,Umbellula,Sea pens,TRUE
West Coast Annual,Actinernus,Na,TRUE
West Coast Annual,Actinoscyphia,Na,TRUE
West Coast Annual,Aequorea,Na,TRUE
West Coast Annual,Anteliaster,Na,TRUE
West Coast Annual,Antipatharia,Na,TRUE
West Coast Annual,Asteronyx,Na,TRUE
West Coast Annual,Atolla,Na,TRUE
West Coast Annual,Bathylagidae,Na,TRUE
West Coast Annual,Bathylagus sp.,Na,TRUE
West Coast Annual,Bathypathes,Na,TRUE
West Coast Annual,Bivalvia spp.,Bivalves,TRUE
West Coast Annual,Buccinum spp.,True whelks,TRUE
West Coast Annual,Caridea,Na,TRUE
West Coast Annual,Carinariidae,Na,TRUE
West Coast Annual,Chrysopathes,Na,TRUE
West Coast Annual,Colus,Na,TRUE
West Coast Annual,Cottidae spp.,Sculpins,TRUE
West Coast Annual,Dorididae spp.,Nudibranch,TRUE
West Coast Annual,Eualus,Na,TRUE
West Coast Annual,Fish unident.,Na,TRUE
West Coast Annual,Flabellidae,Na,TRUE
West Coast Annual,Galatheidae,Na,TRUE
West Coast Annual,Gonatus,Na,TRUE
West Coast Annual,Gonostomatidae,Na,TRUE
West Coast Annual,Hyalonema,Na,TRUE
West Coast Annual,Lampanyctus,Na,TRUE
West Coast Annual,Liparidae spp.,Snailfishes,TRUE
West Coast Annual,Neomenia,Na,TRUE
West Coast Annual,Octopus,Na,TRUE
West Coast Annual,Oneirodidae,Na,TRUE
West Coast Annual,Ophiacantha,Na,TRUE
West Coast Annual,Pagurus,Na,TRUE
West Coast Annual,Paragorgia,Na,TRUE
West Coast Annual,Phacellophora sp.,Jellyfish,TRUE
West Coast Annual,Polychaeta spp.,Polychaetes,TRUE
West Coast Annual,Sergestes,Na,TRUE
West Coast Annual,Sicyonis,Na,TRUE
West Coast Annual,Sternoptychidae,Na,TRUE
West Coast Annual,Synallactidae,Na,TRUE
West Coast Annual,Teuthida,Na,TRUE
West Coast Annual,Tube worm,Na,TRUE
West Coast Annual,Agonidae,Na,TRUE
West Coast Annual ,Phacellophora,Jellyfish,TRUE
West Coast Triennial,Actiniaria spp.,Anemones,TRUE
West Coast Triennial,Aphroditidae spp.,Sea mice,TRUE
